word_index,word,word_phrase,senses,gold_image,gold_pos,gold_sense
78,runner,The runner was on the road before dawn.,"{""n"": [""someone who imports or exports without paying duties"", ""someone who travels on foot by running"", ""a person who is employed to deliver messages or documents"", ""a baseball player on the team at bat who is on base (or attempting to reach a base)"", ""a horizontal branch from the base of plant that produces new plants from buds at its tips"", ""a trained athlete who competes in foot races"", ""(football) the player who is carrying (and trying to advance) the ball on an offensive play"", ""a long narrow carpet"", ""device consisting of the parts on which something can slide along"", ""fish of western Atlantic: Cape Cod to Brazil""]}",image.249.jpg,n,6.0
128,exhibition,The exhibition in the lobby was smaller than I expected.,"{""n"": [""the act of exhibiting"", ""a collection of things (goods or works of art etc.) for public display""]}",image.559.jpg,n,2.0
169,foul,"During batting practice, he fouled the pitch into the trees.","{""n"": [""an act that violates the rules of a sport""], ""v"": [""hit a foul ball"", ""make impure"", ""become or cause to become obstructed"", ""commit a foul; break the rules"", ""spot, stain, or pollute"", ""make unclean"", ""become soiled and dirty""], ""a"": [""highly offensive; arousing aversion or disgust"", ""offensively malodorous"", ""violating accepted standards or rules"", ""(of a baseball) not hit between the foul lines"", ""(of a manuscript) defaced with changes"", ""characterized by obscenity"", ""disgustingly dirty; filled or smeared with offensive matter"", ""especially of a ship's lines etc""]}",image.2502.jpg,v,1.0
474,porter,The porter was strong but smooth.,"{""n"": [""a person employed to carry luggage and supplies"", ""someone who guards an entrance"", ""United States writer of novels and short stories (1890-1980)"", ""United States composer and lyricist of musical comedies (1891-1946)"", ""United States writer of short stories whose pen name was O. Henry (1862-1910)"", ""a railroad employee who assists passengers (especially on sleeping cars)"", ""a very dark sweet ale brewed from roasted unmalted barley""], ""v"": [""carry luggage or supplies""]}",image.5948.jpg,n,7.0
894,handicraft,My grandmother taught me handicraft when I was a child.,"{""n"": [""a work produced by hand labor"", ""a craft that requires skillful hands""]}",image.4311.jpg,n,2.0
916,egg,I held the egg in my palm and noticed it was still warm.,"{""n"": [""animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds"", ""oval reproductive body of a fowl (especially a hen) used as food"", ""one of the two male reproductive glands that produce spermatozoa and secrete androgens""], ""v"": [""throw eggs at"", ""coat with beaten egg""]}",image.8439.jpg,n,1.0
930,volume,I found the volume in the library.,"{""n"": [""the amount of 3-dimensional space occupied by an object"", ""the property of something that is great in magnitude"", ""physical objects consisting of a number of pages bound together"", ""a publication that is one of a set of several similar publications"", ""a relative amount"", ""the magnitude of sound (usually in a specified direction)""]}",image.2915.jpg,n,4.0
1039,butcher,I picked up a roast from the butcher after work.,"{""n"": [""a retailer of meat"", ""a brutal indiscriminate murderer"", ""a person who slaughters or dresses meat for market"", ""someone who makes mistakes because of incompetence""], ""v"": [""kill (animals) usually for food consumption""], ""a"": [""used of men; markedly masculine in appearance or manner"", ""(of male or female homosexuals) characterized by stereotypically male traits or appearance""]}",image.8165.jpg,n,1.0
1209,groom,She took a few minutes to groom before heading out.,"{""n"": [""a man participant in his own marriage ceremony"", ""someone employed in a stable to take care of the horses"", ""a man who has recently been married""], ""v"": [""educate for a future role or function"", ""give a neat appearance to"", ""care for one's external appearance""]}",image.10691.jpg,v,3.0
1298,oil,"There was no oil left, so I bought some on the way home.","{""n"": [""a slippery or viscous liquid or liquefiable substance not miscible with water"", ""oil paint containing pigment that is used by an artist"", ""a dark oil consisting mainly of hydrocarbons"", ""any of a group of liquid edible fats that are obtained from plants""], ""v"": [""cover with oil, as if by rubbing"", ""administer an oil or ointment to ; often in a religious ceremony of blessing""]}",image.11034.jpg,n,4.0
1357,land,I landed the drone softly in the backyard before dinner.,"{""n"": [""the land on which real estate is located"", ""material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)"", ""territory over which rule or control is exercised"", ""the solid part of the earth's surface"", ""the territory occupied by a nation"", ""a domain in which something is dominant"", ""extensive landed property (especially in the country) retained by the owner for his own use"", ""the people who live in a nation or country"", ""a politically organized body of people under a single government"", ""United States inventor who incorporated Polaroid film into lenses and invented the one step photographic process (1909-1991)"", ""agriculture considered as an occupation or way of life""], ""v"": [""reach or come to rest"", ""cause to come to the ground"", ""bring into a different state"", ""bring ashore"", ""deliver (a blow)"", ""arrive on shore"", ""shoot at and force to come down""]}",image.11283.jpg,v,2.0
1426,serve,I'll serve first.,"{""n"": [""(sports) a stroke that puts the ball in play""], ""v"": [""serve a purpose, role, or function"", ""do duty or hold offices; serve in a specific function"", ""contribute or conduce to"", ""be used by; as of a utility"", ""help to some food; help with food or drink"", ""provide (usually but not necessarily food)"", ""devote (part of) one's life or efforts to, as of countries, institutions, or ideas"", ""promote, benefit, or be useful or beneficial to"", ""spend time in prison or in a labor camp"", ""work for or be a servant to"", ""deliver a warrant or summons to someone"", ""be sufficient; be adequate, either in quality or quantity"", ""do military service"", ""mate with"", ""put the ball into play""]}",image.4627.jpg,v,15.0
1455,keyboard,"When I got home, the keyboard was missing.","{""n"": [""device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like"", ""holder consisting of an arrangement of hooks on which keys or locks can be hung""]}",image.7749.jpg,n,1.0
1506,land,"After the storm passed, we could finally see land.","{""n"": [""the land on which real estate is located"", ""material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)"", ""territory over which rule or control is exercised"", ""the solid part of the earth's surface"", ""the territory occupied by a nation"", ""a domain in which something is dominant"", ""extensive landed property (especially in the country) retained by the owner for his own use"", ""the people who live in a nation or country"", ""a politically organized body of people under a single government"", ""United States inventor who incorporated Polaroid film into lenses and invented the one step photographic process (1909-1991)"", ""agriculture considered as an occupation or way of life""], ""v"": [""reach or come to rest"", ""cause to come to the ground"", ""bring into a different state"", ""bring ashore"", ""deliver (a blow)"", ""arrive on shore"", ""shoot at and force to come down""]}",image.9053.jpg,n,4.0
1549,serve,"After college, he served overseas for two years.","{""n"": [""(sports) a stroke that puts the ball in play""], ""v"": [""serve a purpose, role, or function"", ""do duty or hold offices; serve in a specific function"", ""contribute or conduce to"", ""be used by; as of a utility"", ""help to some food; help with food or drink"", ""provide (usually but not necessarily food)"", ""devote (part of) one's life or efforts to, as of countries, institutions, or ideas"", ""promote, benefit, or be useful or beneficial to"", ""spend time in prison or in a labor camp"", ""work for or be a servant to"", ""deliver a warrant or summons to someone"", ""be sufficient; be adequate, either in quality or quantity"", ""do military service"", ""mate with"", ""put the ball into play""]}",image.11934.jpg,v,13.0
1567,conga,She put on some conga for the guests before dinner.,"{""n"": [""music composed for dancing the conga"", ""a Latin American dance of 3 steps and a kick by people in single file""], ""v"": [""dance the conga""]}",image.8498.jpg,n,1.0
1859,strike,That strike in the last round was all he needed to win.,"{""n"": [""a group's refusal to work in protest against low pay or bad work conditions"", ""an attack that is intended to seize or inflict damage on or destroy an objective"", ""a gentle blow"", ""a score in tenpins: knocking down all ten with the first ball"", ""(baseball) a pitch that the batter swings at and misses, or that the batter hits into foul territory, or that the batter does not swing at but the umpire judges to be in the area over home plate and between the batter's knees and shoulders"", ""a conspicuous success""], ""v"": [""deliver a sharp blow, as with the hand, fist, or weapon"", ""have an emotional or cognitive impact upon"", ""hit against; come into sudden contact with"", ""make a strategic, offensive, assault against an enemy, opponent, or a target"", ""indicate (a certain time) by striking"", ""affect or afflict suddenly, usually adversely"", ""stop work in order to press demands"", ""touch or seem as if touching visually or audibly"", ""attain"", ""produce by manipulating keys or strings of musical instruments, also metaphorically"", ""cause to form (an electric arc) between electrodes of an arc lamp"", ""find unexpectedly"", ""produce by ignition or a blow"", ""remove by erasing or crossing out or as if by drawing a line"", ""cause to experience suddenly"", ""drive something violently into a location"", ""occupy or take on"", ""form by stamping, punching, or printing"", ""smooth with a strickle"", ""pierce with force"", ""arrive at after reckoning, deliberating, and weighing""]}",image.11535.jpg,n,4.0
