word_index,word,word_phrase,senses,gold_image,gold_pos,gold_sense,prompt
0,moorhen,'swamphen' is a hypernym of the specific sense of 'moorhen'.,"{""n"": [""black gallinule that inhabits ponds and lakes"", ""female red grouse""]}",image.0.jpg,n,1.0,"the noun 'moorhen' that can be interpreted as:
 1. black gallinule that inhabits ponds and lakes
 2. female red grouse
---
Generate a natural ambiguous sentence using polysemous word 'moorhen' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'moorhen' should be interpreted as 'black gallinule that inhabits ponds and lakes'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
11,upset,'success' is a hypernym of the specific sense of 'upset'.,"{""n"": [""an unhappy and worried mental state"", ""the act of disturbing the mind or body"", ""a physical condition in which there is a disturbance of normal functioning"", ""a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging"", ""the act of upsetting something"", ""an improbable and unexpected victory""], ""v"": [""disturb the balance or stability of"", ""cause to lose one's composure"", ""move deeply"", ""cause to overturn from an upright or normal position"", ""form metals with a swage"", ""defeat suddenly and unexpectedly""], ""a"": [""afflicted with or marked by anxious uneasiness or trouble or grief"", ""thrown into a state of disarray or confusion"", ""used of an unexpected defeat of a team favored to win"", ""mildly physically distressed"", ""having been turned so that the bottom is no longer the bottom""]}",image.185.jpg,v,6.0,"the verb 'upset' that can be interpreted as:
 1. disturb the balance or stability of
 2. cause to lose one's composure
 3. move deeply
 4. cause to overturn from an upright or normal position
 5. form metals with a swage
 6. defeat suddenly and unexpectedly
---
Generate a natural ambiguous sentence using polysemous word 'upset' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the verb 'upset' should be interpreted as 'defeat suddenly and unexpectedly'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
14,breakdown,'failure' is a hypernym of the specific sense of 'breakdown'.,"{""n"": [""the act of disrupting an established order so it fails to continue"", ""a mental or physical breakdown"", ""a cessation of normal operation"", ""an analysis into mutually exclusive categories""]}",image.239.jpg,n,3.0,"the noun 'breakdown' that can be interpreted as:
 1. the act of disrupting an established order so it fails to continue
 2. a mental or physical breakdown
 3. a cessation of normal operation
 4. an analysis into mutually exclusive categories
---
Generate a natural ambiguous sentence using polysemous word 'breakdown' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'breakdown' should be interpreted as 'a cessation of normal operation'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
20,beater,'implement' is a hypernym of the specific sense of 'beater'.,"{""n"": [""a worker who rouses wild game from under cover for a hunter"", ""an implement for beating""]}",image.339.jpg,n,2.0,"the noun 'beater' that can be interpreted as:
 1. a worker who rouses wild game from under cover for a hunter
 2. an implement for beating
---
Generate a natural ambiguous sentence using polysemous word 'beater' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'beater' should be interpreted as 'an implement for beating'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
31,sprat,'sardine' is a hypernym of the specific sense of 'sprat'.,"{""n"": [""small fatty European fish; usually smoked or canned like sardines"", ""small herring processed like a sardine""]}",image.516.jpg,n,1.0,"the noun 'sprat' that can be interpreted as:
 1. small fatty European fish; usually smoked or canned like sardines
 2. small herring processed like a sardine
---
Generate a natural ambiguous sentence using polysemous word 'sprat' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'sprat' should be interpreted as 'small fatty European fish; usually smoked or canned like sardines'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
33,paddle,'beat' is a hypernym of the specific sense of 'paddle'.,"{""n"": [""small wooden bat with a flat surface; used for hitting balls in various games"", ""a blade of a paddle wheel or water wheel"", ""an instrument of punishment consisting of a flat board"", ""a short light oar used without an oarlock to propel a canoe or small boat""], ""v"": [""propel with a paddle"", ""play in or as if in water, as of small children"", ""swim like a dog in shallow water"", ""walk unsteadily"", ""give a spanking to; subject to a spanking"", ""stir with a paddle""]}",image.545.jpg,n,3.0,"the noun 'paddle' that can be interpreted as:
 1. small wooden bat with a flat surface; used for hitting balls in various games
 2. a blade of a paddle wheel or water wheel
 3. an instrument of punishment consisting of a flat board
 4. a short light oar used without an oarlock to propel a canoe or small boat
---
Generate a natural ambiguous sentence using polysemous word 'paddle' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'paddle' should be interpreted as 'an instrument of punishment consisting of a flat board'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
36,beech,'tree' is a hypernym of the specific sense of 'beech'.,"{""n"": [""any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions"", ""wood of any of various beech trees; used for flooring and containers and plywood and tool handles""]}",image.599.jpg,n,1.0,"the noun 'beech' that can be interpreted as:
 1. any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions
 2. wood of any of various beech trees; used for flooring and containers and plywood and tool handles
---
Generate a natural ambiguous sentence using polysemous word 'beech' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'beech' should be interpreted as 'any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
46,brisling,'herring' is a hypernym of the specific sense of 'brisling'.,"{""n"": [""small fatty European fish; usually smoked or canned like sardines"", ""small herring processed like a sardine""]}",image.755.jpg,n,2.0,"the noun 'brisling' that can be interpreted as:
 1. small fatty European fish; usually smoked or canned like sardines
 2. small herring processed like a sardine
---
Generate a natural ambiguous sentence using polysemous word 'brisling' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'brisling' should be interpreted as 'small herring processed like a sardine'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
47,growling,'cry' is a hypernym of the specific sense of 'growling'.,"{""n"": [""a gruff or angry utterance (suggestive of the growling of an animal)"", ""the sound of growling (as made by animals)""], ""v"": [""to utter or emit low dull rumbling sounds""]}",image.769.jpg,v,1.0,"the verb 'growling' that can be interpreted as:
 1. to utter or emit low dull rumbling sounds
---
Generate a natural ambiguous sentence using polysemous word 'growling' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the verb 'growling' should be interpreted as 'to utter or emit low dull rumbling sounds'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
48,patient,'case' is a hypernym of the specific sense of 'patient'.,"{""n"": [""a person who requires medical care"", ""the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause""], ""a"": [""enduring trying circumstances with even temper or characterized by such endurance""]}",image.456.jpg,n,1.0,"the noun 'patient' that can be interpreted as:
 1. a person who requires medical care
 2. the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause
---
Generate a natural ambiguous sentence using polysemous word 'patient' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'patient' should be interpreted as 'a person who requires medical care'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
