word_index,word,senses,gold_image,gold_sense,generated_ambiguous_sentence,generated_caption,predicted_answer
4362,swallow,"{""senses"": [""a small amount of liquid food"", ""the act of swallowing"", ""small long-winged songbird noted for swift graceful flight and the regularity of its migrations""]}",image.11950.jpg,3,A quick swallow helped him recover.,"The image shows two birds, specifically swallows, perched on a stump.

In the sentence ""A quick swallow helped him recover,"" ""swallow"" refers to a rapid gulp or act of consuming something, likely food or drink, which aided in his recovery.",2
11580,embolism,"{""senses"": [""an insertion into a calendar"", ""occlusion of a blood vessel by an embolus (a loose clot or air bubble or other particle)""]}",image.9534.jpg,2,The team handled the embolism with a revised protocol.,"The red circle highlights an area of opacity in the left lung on the chest X-ray, and the CT scan shows a thrombus extending into the pulmonary artery. 

The sentence implies the medical team addressed a pulmonary embolism, likely utilizing a modified treatment plan based on imaging findings such as the opacity and thrombus.",2
1722,stamp,"{""senses"": [""the distinctive form in which a thing is made"", ""a type or class"", ""a symbol that is the result of printing or engraving"", ""a small adhesive token stuck on a letter or package to indicate that that postal fees have been paid"", ""something that can be used as an official medium of payment"", ""a small piece of adhesive paper that is put on an object to show that a government tax has been paid"", ""machine consisting of a heavy bar that moves vertically for pounding or crushing ores"", ""a block or die used to imprint a mark or design"", ""a device incised to make an impression; used to secure a closing or to authenticate documents""]}",image.4522.jpg,4,She collected the stamp with care.,"The image shows a postage stamp from El Salvador. ""She collected the stamp with care"" refers to the physical object—the rectangular piece of paper with the design—that was used for mailing and is now a collectible item.",4
2541,instrumentation,"{""senses"": [""an artifact (or system of artifacts) that is instrumental in accomplishing some end"", ""the act of providing or using the instruments needed for some implementation"", ""the instruments called for in a musical score or arrangement for a band or orchestra"", ""the act of arranging a piece of music for an orchestra and assigning parts to the different musical instruments""]}",image.7090.jpg,3,The director reviewed the instrumentation before rehearsals began.,"The image showcases a large orchestra and choir, featuring a wide array of instruments—strings (violins, violas, cellos, basses), woodwinds (flutes, oboes, clarinets, bassoons), brass (trumpets, trombones, horns), percussion (timpani, drums, cymbals), and potentially other orchestral instruments like a harp. The director reviewing the instrumentation signifies a check of the ensemble's composition and balance to ensure the planned musical textures and timbres are represented and ready for the rehearsals.",3
5802,blueberry,"{""senses"": [""any of numerous shrubs of the genus Vaccinium bearing blueberries"", ""sweet edible dark-blue berries of either low-growing or high-growing blueberry plants""]}",image.10129.jpg,2,The gardener praised the blueberry's potential.,"The image shows a container filled with blueberries, small, round, blue-purple berries. The sentence ""The gardener praised the blueberry's potential"" refers to these berries, suggesting the gardener believes they will grow well or produce a bountiful harvest.",2
8162,tatting,"{""senses"": [""needlework consisting of handmade lace made by looping and knotting a single thread on a small shuttle"", ""the act or art of making handmade lace""]}",image.3828.jpg,1,The afternoon was filled with tatting and tea.,"The image shows a shuttle used for tatting, a traditional needlework technique creating decorative lace. ""Tatting"" in the sentence ""The afternoon was filled with tatting and tea"" refers to the leisurely activity of creating this type of lace, enjoyed alongside a relaxing cup of tea.",1
8941,irrigation,"{""senses"": [""supplying dry land with water by means of ditches etc"", ""(medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution""]}",image.2345.jpg,1,The area required careful irrigation to ensure a healthy outcome.,"The image clearly depicts a center pivot irrigation system in action, spraying water over a field of crops. The sentence ""The area required careful irrigation to ensure a healthy outcome"" refers to this process – the controlled and deliberate application of water using this type of system to support plant growth and achieve a successful harvest.",1
1517,mackintosh,"{""senses"": [""a lightweight waterproof (usually rubberized) fabric"", ""a waterproof raincoat made of rubberized fabric"", ""A popular variety of culinary and dessert apple characterized by its deep red (sometimes green-blushed) skin, tart-sweet flavor, and tender, bright white flesh.""]}",image.944.jpg,2,A bright red mackintosh was left on the bench after the picnic.,"The long, dark coat in the image represents a mackintosh. It refers to a waterproof coat, typically made of rubberized fabric, as depicted by the coat's material and length. ""A bright red mackintosh was left on the bench after the picnic"" implies a similar waterproof coat, likely a vibrant color, was abandoned.",2
11769,father,"{""senses"": [""a male parent (also used as a term of address to your father)"", ""the founder of a family"", ""`Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military"", ""(Christianity) any of about 70 theologians in the period from the 2nd to the 7th century whose writing established and confirmed official church doctrine; in the Roman Catholic Church some were later declared saints and became Doctor of the Church; the best known Latin Church Fathers are Ambrose, Augustine, Gregory the Great, and Jerome; those who wrote in Greek include Athanasius, Basil, Gregory Nazianzen, and John Chrysostom"", ""a person who holds an important or distinguished position in some organization"", ""God when considered as the first person in the Trinity"", ""a person who founds or establishes some institution"", ""the head of an organized crime family""]}",image.4306.jpg,1,My father built a firm foundation.,"The man holding the child represents a father figure, implying guidance, support, and care. The sentence ""My father built a firm foundation"" suggests stability and strength, which is reflected in the man's posture and his protective hold on the child.",1
5964,maroon,"{""senses"": [""a person who is stranded (as on an island)"", ""a dark purplish-red to dark brownish-red color"", ""an exploding firework used as a warning signal""]}",image.6768.jpg,2,The ship appeared maroon against the horizon.,"The chestnut shell exhibits a rich, dark reddish-brown hue, closely resembling the color 'maroon'. 

The ship appearing 'maroon' against the horizon suggests a similar deep reddish-brown color contrasting with the lighter sky.",2
