word_index,word,senses,gold_image,gold_sense,ambiguous_sentence
0,moorhen,"{""noun_senses"": [""black gallinule that inhabits ponds and lakes"", ""female red grouse""]}",image.0.jpg,1,"The moorhen blended well with the surrounding landscape."
11,upset,"{""verb_senses"": [""disturb the balance or stability of"", ""cause to lose one's composure"", ""move deeply"", ""cause to overturn from an upright or normal position"", ""form metals with a swage"", ""defeat suddenly and unexpectedly""]}",image.185.jpg,6,"The unexpected performance by the rookie is going to upset the veteran."
14,breakdown,"{""noun_senses"": [""the act of disrupting an established order so it fails to continue"", ""a mental or physical breakdown"", ""a cessation of normal operation"", ""an analysis into mutually exclusive categories""]}",image.239.jpg,3,"After years of relentless pursuit, the prolonged effort finally caused a breakdown."
20,beater,"{""noun_senses"": [""a worker who rouses wild game from under cover for a hunter"", ""an implement for beating"", ""a weaving tool designed to push the weft yarn securely into place""]}",image.339.jpg,3,"The craftsman relied on the beater to ensure a tight finish to the project."
31,sprat,"{""noun_senses"": [""small fatty European fish; usually smoked or canned like sardines"", ""small herring processed like a sardine""]}",image.516.jpg,1,"He always enjoyed sprat with a squeeze of lemon."
33,paddle,"{""verb_senses"": [""propel with a paddle"", ""play in or as if in water, as of small children"", ""swim like a dog in shallow water"", ""walk unsteadily"", ""give a spanking to; subject to a spanking"", ""stir with a paddle""]}",image.545.jpg,5,"They paddle after dinner was served."
36,beech,"{""noun_senses"": [""any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions"", ""wood of any of various beech trees; used for flooring and containers and plywood and tool handles""]}",image.599.jpg,1,"The carvings showed the aged beauty of beech."
48,patient,"{""noun_senses"": [""a person who requires medical care"", ""the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause""]}",image.456.jpg,1,"The instructor taught the concept of patient throughout the session."
50,student,"{""noun_senses"": [""a learner who is enrolled in an educational institution"", ""a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines""]}",image.815.jpg,1,"The student advised the younger learners on effective study habits."
54,runner,"{""noun_senses"": [""someone who imports or exports without paying duties"", ""someone who travels on foot by running"", ""a person who is employed to deliver messages or documents"", ""a baseball player on the team at bat who is on base (or attempting to reach a base)"", ""a horizontal branch from the base of plant that produces new plants from buds at its tips"", ""a trained athlete who competes in foot races"", ""(football) the player who is carrying (and trying to advance) the ball on an offensive play"", ""a long narrow carpet"", ""device consisting of the parts on which something can slide along"", ""fish of western Atlantic: Cape Cod to Brazil""]}",image.878.jpg,6,"The runner moved swiftly across the field."
