word_index,word,senses,gold_image,generated_caption
0,andromeda,"{""senses"": [""broad-leaved evergreen Asiatic shrub with glossy leaves and drooping clusters of white flowers"", ""any of several shrubs of the genus Andromeda having leathery leaves and clusters of small flowers"", ""(Greek mythology) an Ethiopian princess and daughter of Cassiopeia; she was fastened to a rock and exposed to a sea monster that was sent by Poseidon, but she was rescued by Perseus and became his wife"", ""a constellation in the northern hemisphere between Cassiopeia and Pegasus; contains the Andromeda galaxy""]}",image.86.jpg,"The delicate, bell-shaped flowers cascade from the branches of the evergreen shrub known as andromeda."
1,angora,"{""senses"": [""the capital of Turkey; located in west-central Turkey; it was formerly known as Angora and is the home of Angora goats"", ""a domestic breed of goat raised for its long silky hair which is the true mohair"", ""domestic breed of rabbit with long white silky hair"", ""a long-haired breed of cat similar to the Persian cat""]}",image.70.jpg,"The cityscape of Istanbul blends historic mosques with modern skyscrapers, a vibrant mix reminiscent of the soft textures of angora wool."
3,bank,"{""senses"": [""sloping land (especially the slope beside a body of water)"", ""a financial institution that accepts deposits and channels the money into lending activities"", ""a long ridge or pile"", ""an arrangement of similar objects in a row or in tiers"", ""a supply or stock held in reserve for future use (especially in emergencies)"", ""the funds held by a gambling house or the dealer in some gambling games"", ""a slope in the turn of a road or track; the outside is higher than the inside in order to reduce the effects of centrifugal force"", ""a container (usually with a slot in the top) for keeping money at home"", ""a building in which the business of banking transacted"", ""a flight maneuver; aircraft tips laterally about its longitudinal axis (especially in turning)"", ""tip laterally"", ""enclose with a bank"", ""do business with a bank or keep an account at a bank"", ""act as the banker in a game or in gambling"", ""be in the banking business"", ""put into a bank account"", ""cover with ashes so to control the rate of burning"", ""have confidence or faith in""]}",image.64.jpg,"The river flows gently through the canyon, its waters lapping against the rocky bank."
4,router,"{""senses"": [""a worker who routes shipments for distribution and delivery"", ""(computer science) a device that forwards data packets between computer networks"", ""a power tool with a shaped cutter; used in carpentry for cutting grooves""]}",image.18.jpg,This device is a router with several Ethernet ports for connecting wired devices.
5,stick,"{""senses"": [""an implement consisting of a length of wood"", ""a small thin branch of a tree"", ""a lever used by a pilot to control the ailerons and elevators of an airplane"", ""a rectangular quarter pound block of butter or margarine"", ""informal terms for the leg"", ""a long implement (usually made of wood) that is shaped so that hockey or polo players can hit a puck or ball"", ""a long thin implement resembling a length of wood"", ""marijuana leaves rolled into a cigarette for smoking"", ""threat of a penalty"", ""put, fix, force, or implant"", ""stay put (in a certain place)"", ""stick to firmly"", ""be or become fixed"", ""endure"", ""be a devoted follower or supporter"", ""be loyal to"", ""cover and decorate with objects that pierce the surface"", ""fasten with an adhesive material like glue"", ""fasten with or as with pins or nails"", ""fasten into place by fixing an end or point into something"", ""pierce with a thrust using a pointed instrument"", ""pierce or penetrate or puncture with something pointed"", ""come or be in close contact with; stick or hold together and resist separation"", ""saddle with something disagreeable or disadvantageous"", ""be a mystery or bewildering to""]}",image.156.jpg,This classic black controller features a prominent stick for navigating games.
6,swing,"{""senses"": [""a state of steady vigorous action that is characteristic of an activity"", ""mechanical device used as a plaything to support someone swinging back and forth"", ""a sweeping blow or stroke"", ""changing location by moving back and forth"", ""a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz"", ""a jaunty rhythm in music"", ""the act of swinging a golf club at a golf ball and (usually) hitting it"", ""in baseball; a batter's attempt to hit a pitched ball"", ""a square dance figure; a pair of dancers join hands and dance around a point between them"", ""move in a curve or arc, usually with the intent of hitting"", ""move or walk in a swinging or swaying manner"", ""change direction with a swinging motion; turn"", ""influence decisively"", ""make a big sweeping gesture or movement"", ""hang freely"", ""hit or aim at with a sweeping arm movement"", ""alternate dramatically between high and low values"", ""live in a lively, modern, and relaxed style"", ""have a certain musical rhythm"", ""be a social swinger; socialize a lot"", ""play with a subtle and intuitively felt sense of rhythm"", ""engage freely in promiscuous sex, often with the husband or wife of one's friends""]}",image.54.jpg,The batsman takes a wide swing at the cricket ball as he defends his wicket.
7,tube,"{""senses"": [""conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases"", ""electronic device consisting of a system of electrodes arranged in an evacuated glass or metal envelope"", ""a hollow cylindrical shape"", ""(anatomy) any hollow cylindrical body structure"", ""an electric railway operating below the surface of the ground (usually in a city)"", ""provide with a tube or insert a tube into"", ""convey in a tube"", ""ride or float on an inflated tube"", ""place or enclose in a tube""]}",image.28.jpg,"The dark, curving tunnel of the subway resembles a long, underground tube."
8,venus,"{""senses"": [""the second nearest planet to the sun; it is peculiar in that its rotation is slow and retrograde (in the opposite sense of the Earth and all other planets except Uranus); it is visible from Earth as an early `morning star' or an `evening star'"", ""goddess of love; counterpart of Greek Aphrodite"", ""type genus of the family Veneridae: genus of edible clams with thick oval shells""]}",image.124.jpg,"This image shows the dense, swirling clouds that perpetually obscure the surface of venus."
9,wheel,"{""senses"": [""a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)"", ""a handwheel that is used for steering"", ""forces that provide energy and direction"", ""a circular helm to control the rudder of a vessel"", ""game equipment consisting of a wheel with slots that is used for gambling; the wheel rotates horizontally and players bet on which slot the roulette ball will stop in"", ""an instrument of torture that stretches or disjoints or mutilates victims"", ""a wheeled vehicle that has two wheels and is moved by foot pedals"", ""change directions as if revolving on a pivot"", ""wheel somebody or something"", ""move along on or as if on wheels or a wheeled vehicle"", ""ride a bicycle""]}",image.118.jpg,This rustic display features a decorative wagon wheel alongside a carved wooden shelf.
10,white,"{""senses"": [""a member of the Caucasoid race"", ""the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black)"", ""United States jurist appointed chief justice of the United States Supreme Court in 1910 by President Taft; noted for his work on antitrust legislation (1845-1921)"", ""Australian writer (1912-1990)"", ""United States political journalist (1915-1986)"", ""United States architect (1853-1906)"", ""United States writer noted for his humorous essays (1899-1985)"", ""United States educator who in 1865 (with Ezra Cornell) founded Cornell University and served as its first president (1832-1918)"", ""a tributary of the Mississippi River that flows southeastward through northern Arkansas and southern Missouri"", ""the white part of an egg; the nutritive and protective gelatinous substance surrounding the yolk consisting mainly of albumin dissolved in water"", ""(board games) the lighter pieces"", ""(usually in the plural) trousers made of flannel or gabardine or tweed or white cloth"", ""turn white"", ""being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light"", ""of or belonging to a racial group having light skin coloration"", ""free from moral blemish or impurity; unsullied"", ""marked by the presence of snow"", ""restricted to whites only"", ""glowing white with heat"", ""benevolent; without malicious intent"", ""(of a surface) not written or printed on"", ""(of coffee) having cream or milk added"", ""(of hair) having lost its color"", ""anemic looking from illness or emotion; ; ; ; ; - Mary W. Shelley"", ""of summer nights in northern latitudes where the sun barely sets""]}",image.71.jpg,"The egg yolk sits nestled within the clear, translucent white of the egg."
