word_index,word,senses,gold_image,gold_sense
147,state,"{""noun_senses"": [""the territory occupied by one of the constituent administrative districts of a nation"", ""the way something is with respect to its main attributes"", ""the group of people comprising the government of a sovereign state"", ""a politically organized body of people under a single government"", ""(chemistry) the three traditional states of matter are solids (fixed shape and volume) and liquids (fixed volume and shaped by the container) and gases (filling the container)"", ""a state of depression or agitation"", ""the territory occupied by a nation"", ""the federal department in the United States that sets and maintains foreign policies""]}",image.2210.jpg,8
596,dol,"{""noun_senses"": [""a unit of pain intensity"", ""the federal department responsible for promoting the working conditions of wage earners in the United States; created in 1913""]}",image.1695.jpg,2
104,farmer,"{""noun_senses"": [""a person who operates a farm"", ""United States civil rights leader who in 1942 founded the Congress of Racial Equality (born in 1920)"", ""an expert on cooking whose cookbook has undergone many editions (1857-1915)""]}",image.1621.jpg,1
172,herder,"{""noun_senses"": [""German philosopher who advocated intuition over reason (1744-1803)"", ""someone who drives a herd""]}",image.2542.jpg,2
627,cis,"{""noun_senses"": [""an alliance made up of states that had been Soviet Socialist Republics in the Soviet Union prior to its dissolution in Dec 1991"", ""a unit of radioactivity equal to the amount of a radioactive isotope that decays at the rate of 37,000,000,000 disintegrations per second""]}",image.4456.jpg,1
843,nit,"{""noun_senses"": [""a luminance unit equal to 1 candle per square meter measured perpendicular to the rays from the source"", ""egg or young of an insect parasitic on mammals especially a sucking louse; often attached to a hair or item of clothing""]}",image.636.jpg,2
928,hogan,"{""noun_senses"": [""United States golfer who won many major golf tournaments (1912-1997)"", ""a Navajo lodge covered with earth; traditionally built with the entrance facing east""]}",image.7447.jpg,2
993,mead,"{""noun_senses"": [""United States anthropologist noted for her claims about adolescence and sexual behavior in Polynesian cultures (1901-1978)"", ""United States philosopher of pragmatism (1863-1931)"", ""made of fermented honey and water""]}",image.4290.jpg,3
1486,jay,"{""noun_senses"": [""United States diplomat and jurist who negotiated peace treaties with Britain and served as the first chief justice of the United States Supreme Court (1745-1829)"", ""crested largely blue bird""]}",image.7649.jpg,2
1770,bolshevik,"{""noun_senses"": [""emotionally charged terms used to refer to extreme radicals or revolutionaries"", ""a Russian member of the left-wing majority group that followed Lenin and eventually became the Russian communist party""]}",image.8145.jpg,2
1843,wren,"{""noun_senses"": [""English architect who designed more than fifty London churches (1632-1723)"", ""any of several small active brown birds of the northern hemisphere with short upright tails; they feed on insects""]}",image.4477.jpg,2
2317,holly,"{""noun_senses"": [""any tree or shrub of the genus Ilex having red berries and shiny evergreen leaves with prickly edges"", ""United States rock star (1936-1959)""]}",image.2228.jpg,1
2610,tamale,"{""noun_senses"": [""a city in northern Ghana"", ""corn and cornmeal dough stuffed with a meat mixture then wrapped in corn husks and steamed""]}",image.3747.jpg,2
