word_index,word,senses,gold_image,gold_sense,ambiguous_sentence,prompt,label
11,upset,"{""verb_senses"": [""disturb the balance or stability of"", ""cause to lose one's composure"", ""move deeply"", ""cause to overturn from an upright or normal position"", ""form metals with a swage"", ""defeat suddenly and unexpectedly""], ""gold_pos"": ""verb"", ""noun_senses"": [""an unhappy and worried mental state"", ""the act of disturbing the mind or body"", ""a physical condition in which there is a disturbance of normal functioning"", ""a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging"", ""the act of upsetting something"", ""an improbable and unexpected victory""]}",image.185.jpg,6,The unexpected performance by the rookie is going to upset the veteran.,"Caption: A young man appears deeply upset, his gaze averted and a slight grimace on his face as he holds the head of a severed man, blood still visible around the neck and mouth. The expression suggests a complex mix of shock, regret, and perhaps even fear following a violent act.
Word: upset
Noun senses:
- an unhappy and worried mental state
- the act of disturbing the mind or body
- a physical condition in which there is a disturbance of normal functioning
- a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
- the act of upsetting something
- an improbable and unexpected victory
Verb senses:
- disturb the balance or stability of
- cause to lose one's composure
- move deeply
- cause to overturn from an upright or normal position
- form metals with a swage
- defeat suddenly and unexpectedly
---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",1
20,beater,"{""noun_senses"": [""a worker who rouses wild game from under cover for a hunter"", ""an implement for beating""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.339.jpg,3,The craftsman relied on the beater to ensure a tight finish to the project.,"Caption: A woman operates a loom, using a tool to pack the weft threads tightly together, creating a dense fabric as she works at the weaving process.
Word: beater
Noun senses:
- a worker who rouses wild game from under cover for a hunter
- an implement for beating
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
31,sprat,"{""noun_senses"": [""small fatty European fish; usually smoked or canned like sardines"", ""small herring processed like a sardine""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.516.jpg,1,He always enjoyed sprat with a squeeze of lemon.,"Caption: A silvery, elongated fish resembling a sprat is displayed against a black background, showcasing its streamlined body and delicate fins. The scales reflect light, giving it a shimmering appearance, and the eye is notably dark and round. Details of the tail fin and head shape are clearly visible, characteristic of small, schooling fish like a sprat.
Word: sprat
Noun senses:
- small fatty European fish; usually smoked or canned like sardines
- small herring processed like a sardine
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
33,paddle,"{""verb_senses"": [""propel with a paddle"", ""play in or as if in water, as of small children"", ""swim like a dog in shallow water"", ""walk unsteadily"", ""give a spanking to; subject to a spanking"", ""stir with a paddle""], ""gold_pos"": ""verb"", ""noun_senses"": [""small wooden bat with a flat surface; used for hitting balls in various games"", ""a blade of a paddle wheel or water wheel"", ""an instrument of punishment consisting of a flat board"", ""a short light oar used without an oarlock to propel a canoe or small boat""]}",image.545.jpg,5,They paddle after dinner was served.,"Caption: A woman gestures emphatically while a child leans against her, near scattered hats and what appears to be a broken or discarded paddle on the floor.
Word: paddle
Noun senses:
- small wooden bat with a flat surface; used for hitting balls in various games
- a blade of a paddle wheel or water wheel
- an instrument of punishment consisting of a flat board
- a short light oar used without an oarlock to propel a canoe or small boat
Verb senses:
- propel with a paddle
- play in or as if in water, as of small children
- swim like a dog in shallow water
- walk unsteadily
- give a spanking to; subject to a spanking
- stir with a paddle
---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",1
46,brisling,"{""noun_senses"": [""small fatty European fish; usually smoked or canned like sardines"", ""small herring processed like a sardine""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.755.jpg,1,"During the trade negotiations, the distributor emphasized that the brisling remained their most profitable export this season.","Caption: A silvery, elongated fish with a streamlined body, typical of a small, oily species often preserved in tins or smoked, is displayed against a dark background. It possesses a forked tail and a relatively small head with a distinct eye. The scales reflect light, giving it a metallic sheen, and its form suggests it is a schooling fish found in marine environments.
Word: brisling
Noun senses:
- small fatty European fish; usually smoked or canned like sardines
- small herring processed like a sardine
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
48,patient,"{""noun_senses"": [""a person who requires medical care"", ""the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.456.jpg,1,The instructor taught the concept of patient throughout the session.,"Caption: Three individuals are receiving medical care, each seated in a reclining chair and covered with blue gowns and surgical caps. IV lines are connected to their arms, and they appear to be undergoing treatment in a clinical setting, suggesting they are all under observation as a patient.
Word: patient
Noun senses:
- a person who requires medical care
- the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
61,enlightenment,"{""noun_senses"": [""education that results in understanding and the spread of knowledge"", ""(Hinduism and Buddhism) the beatitude that transcends the cycle of reincarnation; characterized by the extinction of desire and suffering and individual consciousness"", ""a movement in Europe from about 1650 until 1800 that advocated the use of reason and individualism instead of tradition and established doctrine""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.997.jpg,1,The university remains a beacon of enlightenment for the entire region.,"Caption: A figure sits in a meditative pose, hands gently clasped, radiating a sense of inner peace and composure. The golden hue of the body and the elaborate ornamentation suggest a divine or highly revered status, while the surrounding red backdrop and symbolic elements like the flanking figures and arched structure evoke a spiritual realm. The overall composition conveys a feeling of profound contemplation and the attainment of wisdom, hinting at a journey towards enlightenment.
Word: enlightenment
Noun senses:
- education that results in understanding and the spread of knowledge
- (Hinduism and Buddhism) the beatitude that transcends the cycle of reincarnation; characterized by the extinction of desire and suffering and individual consciousness
- a movement in Europe from about 1650 until 1800 that advocated the use of reason and individualism instead of tradition and established doctrine
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
65,pica,"{""noun_senses"": [""an eating disorder, frequent in children, in which non-nutritional objects are eaten persistently"", ""a linear unit (1/6 inch) used in printing"", ""magpies""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1058.jpg,1,The researcher spent years documenting the various forms of pica observed in the community.,"Caption: A compulsive desire to eat non-nutritive substances is strikingly represented by the arrangement of stones, bones, and other objects meticulously organized in a radial pattern, suggesting an internal need for order imposed upon unusual consumption.
Word: pica
Noun senses:
- an eating disorder, frequent in children, in which non-nutritional objects are eaten persistently
- a linear unit (1/6 inch) used in printing
- magpies
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
72,bottle,"{""verb_senses"": [""store (liquids or gases) in bottles"", ""put into bottles""], ""gold_pos"": ""verb"", ""noun_senses"": [""a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped"", ""the quantity contained in a bottle"", ""a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children""]}",image.1160.jpg,2,The fruit was bottled for preservation.,"Caption: A person is carefully pouring liquid from a pitcher into a bottle using a funnel, with other bottles visible nearby on a wooden table.
Word: bottle
Noun senses:
- a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
- the quantity contained in a bottle
- a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children
Verb senses:
- store (liquids or gases) in bottles
- put into bottles
---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",1
94,discrimination,"{""noun_senses"": [""unfair treatment of a person or group on the basis of prejudice"", ""the cognitive process whereby two or more stimuli are distinguished""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1473.jpg,1,The system relies on discrimination to function efficiently.,"Caption: A collection of similar items is present, with one noticeably different, suggesting a sense of being set apart or treated unequally.
Word: discrimination
Noun senses:
- unfair treatment of a person or group on the basis of prejudice
- the cognitive process whereby two or more stimuli are distinguished
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
95,yaws,"{""noun_senses"": [""an infectious tropical disease resembling syphilis in its early stages; marked by red skin eruptions and ulcerating lesions"", ""an erratic deflection from an intended course""], ""gold_pos"": ""noun"", ""verb_senses"": [""be wide open"", ""deviate erratically from a set course"", ""swerve off course momentarily""]}",image.1492.jpg,1,The crew was struggling to manage the sudden onset of yaws during the expedition.,"Caption: The skin displays characteristic lesions of a chronic infectious disease, with raised, weeping sores primarily located on the limbs. These lesions appear as ulcerated, granulomatous growths, and are surrounded by areas of hyperpigmentation and scaling skin, indicative of a non-venereal treponemal infection often found in warm, humid climates.
Word: yaws
Noun senses:
- an infectious tropical disease resembling syphilis in its early stages; marked by red skin eruptions and ulcerating lesions
- an erratic deflection from an intended course
Verb senses:
- be wide open
- deviate erratically from a set course
- swerve off course momentarily
---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
100,loafer,"{""noun_senses"": [""person who does no work"", ""a low leather step-in shoe; the top resembles a moccasin but it has a broad flat heel""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1570.jpg,2,She found a loafer relaxing in the sun.,"Caption: A pair of classic footwear with tassels rests angled against a white background, showcasing detailed cross-hatching to define the leather and sole construction of each shoe. The style is relaxed and comfortable, suggesting everyday wear.
Word: loafer
Noun senses:
- person who does no work
- a low leather step-in shoe; the top resembles a moccasin but it has a broad flat heel
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
102,disa,"{""noun_senses"": [""any orchid of the genus Disa; beautiful orchids with dark green leaves and usually hooded flowers; much prized as emblematic flowers in their native regions"", ""a combat support agency in the Department of Defense responsible for developing and operating and supporting information systems to serve the needs of the President and the Secretary of Defense and the Joint Chiefs of Staff""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1597.jpg,1,Resources were allocated to protect disa.,"Caption: A vibrant disa orchid displays its uniquely shaped petals, ranging in color from deep red to orange with subtle green veining. The flower’s structure is intricate, revealing a delicate interior and a bud yet to fully bloom, all set against a stark black background that emphasizes its form and color.
Word: disa
Noun senses:
- any orchid of the genus Disa; beautiful orchids with dark green leaves and usually hooded flowers; much prized as emblematic flowers in their native regions
- a combat support agency in the Department of Defense responsible for developing and operating and supporting information systems to serve the needs of the President and the Secretary of Defense and the Joint Chiefs of Staff
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
103,dagger,"{""noun_senses"": [""a short knife with a pointed blade used for piercing or stabbing"", ""a character used in printing to indicate a cross reference or footnote""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1609.jpg,1,The document showed a dagger near the crucial passage.,"Caption: Two ancient bronze daggers are displayed, one laid flat and the other angled towards the viewer, showcasing their corroded blades and intricately designed hilts with rounded pommels and guard details. The artifacts appear to be museum exhibits, resting on a tiled surface with small supports holding them in place.
Word: dagger
Noun senses:
- a short knife with a pointed blade used for piercing or stabbing
- a character used in printing to indicate a cross reference or footnote
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
110,schooling,"{""noun_senses"": [""the act of teaching at school"", ""the process of being formally educated at a school"", ""the training of an animal (especially the training of a horse for dressage)""], ""gold_pos"": ""noun"", ""verb_senses"": [""educate in or as if in a school"", ""teach or refine to be discriminative in taste or judgment"", ""swim in or form a large group of fish""]}",image.1715.jpg,2,It required a lot of schooling to get ready.,"Caption: A classroom scene depicts a moment of anxiety and learning, with a teacher observing students gathered around a chalkboard displaying a mathematical equation. Several boys appear distressed or uncertain, while others seem engaged or nervously awaiting their turn. The setting, a rustic wooden room with simple furnishings and a portrait on the wall, suggests a rural or traditional form of schooling. The varied expressions and postures of the children convey the challenges and emotional weight associated with education and assessment.
Word: schooling
Noun senses:
- the act of teaching at school
- the process of being formally educated at a school
- the training of an animal (especially the training of a horse for dressage)
Verb senses:
- educate in or as if in a school
- teach or refine to be discriminative in taste or judgment
- swim in or form a large group of fish
---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
113,fir,"{""noun_senses"": [""nonresinous wood of a fir tree"", ""any of various evergreen trees of the genus Abies; chiefly of upland areas""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1752.jpg,2,Fresh fir scented the air.,"Caption: Bright green needles surround distinctive, cylindrical cones characteristic of a fir tree, showcasing the plant’s reproductive structures amidst its foliage. The cones exhibit a unique pattern of overlapping scales, a feature common in many fir species, and are nestled within the dense, vibrant branches.
Word: fir
Noun senses:
- nonresinous wood of a fir tree
- any of various evergreen trees of the genus Abies; chiefly of upland areas
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
115,rainbow,"{""noun_senses"": [""an arc of colored light in the sky caused by refraction of the sun's rays by rain"", ""an illusory hope""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1780.jpg,1,A rainbow was all they had left.,"Caption: A vibrant arc of color stretches across a densely forested mountainside, appearing to originate and terminate within the trees and reflecting onto the still water below. The spectrum is clearly visible, with bands of red, orange, yellow, green, blue, and violet blending into the landscape. The surrounding environment consists of evergreen trees and rocky terrain, creating a beautiful contrast with the colorful phenomenon.
Word: rainbow
Noun senses:
- an arc of colored light in the sky caused by refraction of the sun's rays by rain
- an illusory hope
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
119,drama,"{""noun_senses"": [""a dramatic work intended for performance by actors on a stage"", ""an episode that is turbulent or highly emotional"", ""the literary genre of works intended for the theater"", ""the quality of being arresting or highly emotional""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.525.jpg,1,The students spent the entire afternoon discussing the drama.,"Caption: A tense exchange unfolds between a man and a woman, their expressions hinting at a difficult conversation or revelation within a bustling, dimly lit space. The man appears somber and concerned, while the woman looks up at him with a mixture of shock and perhaps fear, suggesting a moment of high emotional stakes.
Word: drama
Noun senses:
- a dramatic work intended for performance by actors on a stage
- an episode that is turbulent or highly emotional
- the literary genre of works intended for the theater
- the quality of being arresting or highly emotional
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
125,insect,"{""noun_senses"": [""small air-breathing arthropod"", ""a person who has a nasty or unethical character undeserving of respect""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1918.jpg,1,He complained about an insect ruining everything.,"Caption: A diverse collection of arthropods is displayed, showcasing various forms and colors, from delicate moths with patterned wings to robust beetles and slender wasps. Several species are represented, including flying and crawling varieties, each detailed with careful attention to anatomical features. The arrangement suggests a scientific study or illustrative guide to the world of invertebrates.
Word: insect
Noun senses:
- small air-breathing arthropod
- a person who has a nasty or unethical character undeserving of respect
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
126,bobtail,"{""noun_senses"": [""a short or shortened tail of certain animals"", ""large sheepdog with a profuse shaggy bluish-grey-and-white coat and short tail; believed to trace back to the Roman occupation of Britain""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1933.jpg,2,The shepherd admired the bobtail’s thick coat near the fence.,"Caption: A young bobtail looks inquisitively to the side, its fluffy coat a mix of black and white against a backdrop of green grass and foliage. The breed’s characteristic long fur partially obscures its eyes, giving it a sweet, gentle expression.
Word: bobtail
Noun senses:
- a short or shortened tail of certain animals
- large sheepdog with a profuse shaggy bluish-grey-and-white coat and short tail; believed to trace back to the Roman occupation of Britain
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
139,dumbbell,"{""noun_senses"": [""an exercising weight; two spheres connected by a short bar that serves as a handle"", ""an ignorant or foolish person""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2109.jpg,1,He looked ridiculous with the dumbbell.,"Caption: A dumbbell rests on a wooden surface, showcasing its circular weights secured by a threaded metal bar and a collar to prevent sliding. One dumbbell appears fully assembled, while the other has a partially disassembled weight, revealing the screw-on mechanism for adjusting its weight.
Word: dumbbell
Noun senses:
- an exercising weight; two spheres connected by a short bar that serves as a handle
- an ignorant or foolish person
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
140,wolverine,"{""noun_senses"": [""a native or resident of Michigan"", ""musteline mammal of northern Eurasia"", ""stocky shaggy-coated North American carnivorous mammal""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2123.jpg,2,Everyone wondered about the wolverine's travels.,"Caption: A wolverine perches on a weathered log, gazing intently forward with a slightly menacing expression. Its dark fur contrasts with the lighter wood and the backdrop of a blue sky and green trees. The animal appears robust and well-adapted to a wild, forested environment, with strong claws gripping the surface it occupies.
Word: wolverine
Noun senses:
- a native or resident of Michigan
- musteline mammal of northern Eurasia
- stocky shaggy-coated North American carnivorous mammal
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
