word_index,word,senses,gold_image,gold_sense,ambiguous_sentence,prompt
0,moorhen,"{""noun_senses"": [""black gallinule that inhabits ponds and lakes"", ""female red grouse""]}",image.0.jpg,1,The moorhen blended well with the surrounding landscape.,"Ambiguous Word: moorhen
---
Sense List:
1) black gallinule that inhabits ponds and lakes
2) female red grouse
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
11,upset,"{""verb_senses"": [""disturb the balance or stability of"", ""cause to lose one's composure"", ""move deeply"", ""cause to overturn from an upright or normal position"", ""form metals with a swage"", ""defeat suddenly and unexpectedly""]}",image.185.jpg,6,The unexpected performance by the rookie is going to upset the veteran.,"Ambiguous Word: upset
---
Sense List:
1) disturb the balance or stability of
2) cause to lose one's composure
3) move deeply
4) cause to overturn from an upright or normal position
5) form metals with a swage
6) defeat suddenly and unexpectedly
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
14,breakdown,"{""noun_senses"": [""the act of disrupting an established order so it fails to continue"", ""a mental or physical breakdown"", ""a cessation of normal operation"", ""an analysis into mutually exclusive categories""]}",image.239.jpg,3,"After years of relentless pursuit, the prolonged effort finally caused a breakdown.","Ambiguous Word: breakdown
---
Sense List:
1) the act of disrupting an established order so it fails to continue
2) a mental or physical breakdown
3) a cessation of normal operation
4) an analysis into mutually exclusive categories
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
20,beater,"{""noun_senses"": [""a worker who rouses wild game from under cover for a hunter"", ""an implement for beating"", ""a weaving tool designed to push the weft yarn securely into place""]}",image.339.jpg,3,The craftsman relied on the beater to ensure a tight finish to the project.,"Ambiguous Word: beater
---
Sense List:
1) a worker who rouses wild game from under cover for a hunter
2) an implement for beating
3) a weaving tool designed to push the weft yarn securely into place
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
31,sprat,"{""noun_senses"": [""small fatty European fish; usually smoked or canned like sardines"", ""small herring processed like a sardine""]}",image.516.jpg,1,He always enjoyed sprat with a squeeze of lemon.,"Ambiguous Word: sprat
---
Sense List:
1) small fatty European fish; usually smoked or canned like sardines
2) small herring processed like a sardine
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
33,paddle,"{""verb_senses"": [""propel with a paddle"", ""play in or as if in water, as of small children"", ""swim like a dog in shallow water"", ""walk unsteadily"", ""give a spanking to; subject to a spanking"", ""stir with a paddle""]}",image.545.jpg,5,They paddle after dinner was served.,"Ambiguous Word: paddle
---
Sense List:
1) propel with a paddle
2) play in or as if in water, as of small children
3) swim like a dog in shallow water
4) walk unsteadily
5) give a spanking to; subject to a spanking
6) stir with a paddle
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
36,beech,"{""noun_senses"": [""any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions"", ""wood of any of various beech trees; used for flooring and containers and plywood and tool handles""]}",image.599.jpg,1,The carvings showed the aged beauty of beech.,"Ambiguous Word: beech
---
Sense List:
1) any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions
2) wood of any of various beech trees; used for flooring and containers and plywood and tool handles
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
48,patient,"{""noun_senses"": [""a person who requires medical care"", ""the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause""]}",image.456.jpg,1,The instructor taught the concept of patient throughout the session.,"Ambiguous Word: patient
---
Sense List:
1) a person who requires medical care
2) the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
50,student,"{""noun_senses"": [""a learner who is enrolled in an educational institution"", ""a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines""]}",image.815.jpg,1,The student advised the younger learners on effective study habits.,"Ambiguous Word: student
---
Sense List:
1) a learner who is enrolled in an educational institution
2) a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
54,runner,"{""noun_senses"": [""someone who imports or exports without paying duties"", ""someone who travels on foot by running"", ""a person who is employed to deliver messages or documents"", ""a baseball player on the team at bat who is on base (or attempting to reach a base)"", ""a horizontal branch from the base of plant that produces new plants from buds at its tips"", ""a trained athlete who competes in foot races"", ""(football) the player who is carrying (and trying to advance) the ball on an offensive play"", ""a long narrow carpet"", ""device consisting of the parts on which something can slide along"", ""fish of western Atlantic: Cape Cod to Brazil""]}",image.878.jpg,6,The runner moved swiftly across the field.,"Ambiguous Word: runner
---
Sense List:
1) someone who imports or exports without paying duties
2) someone who travels on foot by running
3) a person who is employed to deliver messages or documents
4) a baseball player on the team at bat who is on base (or attempting to reach a base)
5) a horizontal branch from the base of plant that produces new plants from buds at its tips
6) a trained athlete who competes in foot races
7) (football) the player who is carrying (and trying to advance) the ball on an offensive play
8) a long narrow carpet
9) device consisting of the parts on which something can slide along
10) fish of western Atlantic: Cape Cod to Brazil
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
