word_index,word,senses,gold_image,gold_sense,generated_ambiguous_sentence
4362,swallow,"{""senses"": [""a small amount of liquid food"", ""the act of swallowing"", ""small long-winged songbird noted for swift graceful flight and the regularity of its migrations""]}",image.11950.jpg,3,"I watched the swallow dip and rise over the field, hoping it wouldn't rain before I could finish my drink."
11580,embolism,"{""senses"": [""an insertion into a calendar"", ""occlusion of a blood vessel by an embolus (a loose clot or air bubble or other particle)""]}",image.9534.jpg,2,"After the embolism, the entire month felt blocked and unproductive."
1722,stamp,"{""senses"": [""the distinctive form in which a thing is made"", ""a type or class"", ""a symbol that is the result of printing or engraving"", ""a small adhesive token stuck on a letter or package to indicate that that postal fees have been paid"", ""something that can be used as an official medium of payment"", ""a small piece of adhesive paper that is put on an object to show that a government tax has been paid"", ""machine consisting of a heavy bar that moves vertically for pounding or crushing ores"", ""a block or die used to imprint a mark or design"", ""a device incised to make an impression; used to secure a closing or to authenticate documents""]}",image.4522.jpg,4,"She needed to stamp the package before taking it to the post office, hoping it would leave a lasting impression."
2541,instrumentation,"{""senses"": [""an artifact (or system of artifacts) that is instrumental in accomplishing some end"", ""the act of providing or using the instruments needed for some implementation"", ""the instruments called for in a musical score or arrangement for a band or orchestra"", ""the act of arranging a piece of music for an orchestra and assigning parts to the different musical instruments""]}",image.7090.jpg,3,"The complex instrumentation really brought the composer’s vision to life, despite the challenges in acquiring the necessary equipment."
5802,blueberry,"{""senses"": [""any of numerous shrubs of the genus Vaccinium bearing blueberries"", ""sweet edible dark-blue berries of either low-growing or high-growing blueberry plants""]}",image.10129.jpg,2,"She added a handful of blueberry to the garden, hoping to attract more birds."
8162,tatting,"{""senses"": [""needlework consisting of handmade lace made by looping and knotting a single thread on a small shuttle"", ""the act or art of making handmade lace""]}",image.3828.jpg,1,"She admired the delicate tatting adorning the antique dress, wondering if it was original to the garment or a later embellishment."
8941,irrigation,"{""senses"": [""supplying dry land with water by means of ditches etc"", ""(medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution""]}",image.2345.jpg,1,The doctor recommended irrigation after noticing the farm’s crops were struggling.
1517,mackintosh,"{""senses"": [""a lightweight waterproof (usually rubberized) fabric"", ""a waterproof raincoat made of rubberized fabric"", ""A popular variety of culinary and dessert apple characterized by its deep red (sometimes green-blushed) skin, tart-sweet flavor, and tender, bright white flesh.""]}",image.944.jpg,2,"He always packed a mackintosh for trips to the orchard, hoping for a bountiful harvest and protection from the showers."
11769,father,"{""senses"": [""a male parent (also used as a term of address to your father)"", ""the founder of a family"", ""`Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military"", ""(Christianity) any of about 70 theologians in the period from the 2nd to the 7th century whose writing established and confirmed official church doctrine; in the Roman Catholic Church some were later declared saints and became Doctor of the Church; the best known Latin Church Fathers are Ambrose, Augustine, Gregory the Great, and Jerome; those who wrote in Greek include Athanasius, Basil, Gregory Nazianzen, and John Chrysostom"", ""a person who holds an important or distinguished position in some organization"", ""God when considered as the first person in the Trinity"", ""a person who founds or establishes some institution"", ""the head of an organized crime family""]}",image.4306.jpg,1,"Visiting father was a surprisingly spiritual experience, given his history."
5964,maroon,"{""senses"": [""a person who is stranded (as on an island)"", ""a dark purplish-red to dark brownish-red color"", ""an exploding firework used as a warning signal""]}",image.6768.jpg,2,"The sunset cast a maroon glow over the deserted island, leaving us to wonder if anyone would find the castaways."
