word_index,word,senses,gold_image,gold_sense,ambiguous_sentence,label,prompt
0,moorhen,"{""noun_senses"": [""black gallinule that inhabits ponds and lakes"", ""female red grouse""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.0.jpg,1,The moorhen blended well with the surrounding landscape.,Valid,"
Distinguish whether the given word is valid for visual word sense disambiguation. 
Decide based on the following criteria:
* If there is a suitable sense in the sense set that can represent the given image, then the word is valid for visual word sense disambiguation. otherwise, it is invalid for visual word sense disambiguation.

Here are some examples of valid and invalid words for visual word sense disambiguation:

<start_of_image><image_soft_token><end_of_image>
Word: hound's-tongue
---
Noun Senses:
1) perennial shrub of North America having coarse tongue-shaped leaves and pale-blue to purple flowers
2) biennial shrub of Europe and western Asia having coarse tongue-shaped leaves and dark reddish-purple flowers
---
Verb Senses:

---
Answer: Valid
---

<start_of_image><image_soft_token><end_of_image>
Word: utility
---
Noun Senses:
1) a company that performs a public service; subject to government regulation
2) the quality of being of practical use
3) the service (electric power or water or transportation) provided by a public utility
4) (economics) a measure that is to be maximized in any situation involving choice
5) (computer science) a program designed for general support of the processes of a computer
6) a facility composed of one or more pieces of equipment connected to or part of a structure and designed to provide a service such as heat or electricity or water or sewage disposal
---
Verb Senses:

---
Answer: Invalid
---

---Word for evaluation: moorhen---
Image: <start_of_image><image_soft_token><end_of_image>
---
Noun Senses:
1) black gallinule that inhabits ponds and lakes
2) female red grouse
---
Verb Senses:


Think step by step and provide a detailed explanation for your answer. Then, give the final answer in the format of 'Answer: Valid' or 'Answer: Invalid'.
"
11,upset,"{""verb_senses"": [""disturb the balance or stability of"", ""cause to lose one's composure"", ""move deeply"", ""cause to overturn from an upright or normal position"", ""form metals with a swage"", ""defeat suddenly and unexpectedly""], ""gold_pos"": ""verb"", ""noun_senses"": [""an unhappy and worried mental state"", ""the act of disturbing the mind or body"", ""a physical condition in which there is a disturbance of normal functioning"", ""a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging"", ""the act of upsetting something"", ""an improbable and unexpected victory""]}",image.185.jpg,6,The unexpected performance by the rookie is going to upset the veteran.,Valid,"
Distinguish whether the given word is valid for visual word sense disambiguation. 
Decide based on the following criteria:
* If there is a suitable sense in the sense set that can represent the given image, then the word is valid for visual word sense disambiguation. otherwise, it is invalid for visual word sense disambiguation.

Here are some examples of valid and invalid words for visual word sense disambiguation:

<start_of_image><image_soft_token><end_of_image>
Word: hound's-tongue
---
Noun Senses:
1) perennial shrub of North America having coarse tongue-shaped leaves and pale-blue to purple flowers
2) biennial shrub of Europe and western Asia having coarse tongue-shaped leaves and dark reddish-purple flowers
---
Verb Senses:

---
Answer: Valid
---

<start_of_image><image_soft_token><end_of_image>
Word: utility
---
Noun Senses:
1) a company that performs a public service; subject to government regulation
2) the quality of being of practical use
3) the service (electric power or water or transportation) provided by a public utility
4) (economics) a measure that is to be maximized in any situation involving choice
5) (computer science) a program designed for general support of the processes of a computer
6) a facility composed of one or more pieces of equipment connected to or part of a structure and designed to provide a service such as heat or electricity or water or sewage disposal
---
Verb Senses:

---
Answer: Invalid
---

---Word for evaluation: upset---
Image: <start_of_image><image_soft_token><end_of_image>
---
Noun Senses:
1) an unhappy and worried mental state
2) the act of disturbing the mind or body
3) a physical condition in which there is a disturbance of normal functioning
4) a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
5) the act of upsetting something
6) an improbable and unexpected victory
---
Verb Senses:
1) disturb the balance or stability of
2) cause to lose one's composure
3) move deeply
4) cause to overturn from an upright or normal position
5) form metals with a swage
6) defeat suddenly and unexpectedly

Think step by step and provide a detailed explanation for your answer. Then, give the final answer in the format of 'Answer: Valid' or 'Answer: Invalid'.
"
14,breakdown,"{""noun_senses"": [""the act of disrupting an established order so it fails to continue"", ""a mental or physical breakdown"", ""a cessation of normal operation"", ""an analysis into mutually exclusive categories""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.239.jpg,3,"After years of relentless pursuit, the prolonged effort finally caused a breakdown.",Valid,"
Distinguish whether the given word is valid for visual word sense disambiguation. 
Decide based on the following criteria:
* If there is a suitable sense in the sense set that can represent the given image, then the word is valid for visual word sense disambiguation. otherwise, it is invalid for visual word sense disambiguation.

Here are some examples of valid and invalid words for visual word sense disambiguation:

<start_of_image><image_soft_token><end_of_image>
Word: hound's-tongue
---
Noun Senses:
1) perennial shrub of North America having coarse tongue-shaped leaves and pale-blue to purple flowers
2) biennial shrub of Europe and western Asia having coarse tongue-shaped leaves and dark reddish-purple flowers
---
Verb Senses:

---
Answer: Valid
---

<start_of_image><image_soft_token><end_of_image>
Word: utility
---
Noun Senses:
1) a company that performs a public service; subject to government regulation
2) the quality of being of practical use
3) the service (electric power or water or transportation) provided by a public utility
4) (economics) a measure that is to be maximized in any situation involving choice
5) (computer science) a program designed for general support of the processes of a computer
6) a facility composed of one or more pieces of equipment connected to or part of a structure and designed to provide a service such as heat or electricity or water or sewage disposal
---
Verb Senses:

---
Answer: Invalid
---

---Word for evaluation: breakdown---
Image: <start_of_image><image_soft_token><end_of_image>
---
Noun Senses:
1) the act of disrupting an established order so it fails to continue
2) a mental or physical breakdown
3) a cessation of normal operation
4) an analysis into mutually exclusive categories
---
Verb Senses:


Think step by step and provide a detailed explanation for your answer. Then, give the final answer in the format of 'Answer: Valid' or 'Answer: Invalid'.
"
20,beater,"{""noun_senses"": [""a worker who rouses wild game from under cover for a hunter"", ""an implement for beating""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.339.jpg,3,The craftsman relied on the beater to ensure a tight finish to the project.,Valid,"
Distinguish whether the given word is valid for visual word sense disambiguation. 
Decide based on the following criteria:
* If there is a suitable sense in the sense set that can represent the given image, then the word is valid for visual word sense disambiguation. otherwise, it is invalid for visual word sense disambiguation.

Here are some examples of valid and invalid words for visual word sense disambiguation:

<start_of_image><image_soft_token><end_of_image>
Word: hound's-tongue
---
Noun Senses:
1) perennial shrub of North America having coarse tongue-shaped leaves and pale-blue to purple flowers
2) biennial shrub of Europe and western Asia having coarse tongue-shaped leaves and dark reddish-purple flowers
---
Verb Senses:

---
Answer: Valid
---

<start_of_image><image_soft_token><end_of_image>
Word: utility
---
Noun Senses:
1) a company that performs a public service; subject to government regulation
2) the quality of being of practical use
3) the service (electric power or water or transportation) provided by a public utility
4) (economics) a measure that is to be maximized in any situation involving choice
5) (computer science) a program designed for general support of the processes of a computer
6) a facility composed of one or more pieces of equipment connected to or part of a structure and designed to provide a service such as heat or electricity or water or sewage disposal
---
Verb Senses:

---
Answer: Invalid
---

---Word for evaluation: beater---
Image: <start_of_image><image_soft_token><end_of_image>
---
Noun Senses:
1) a worker who rouses wild game from under cover for a hunter
2) an implement for beating
---
Verb Senses:


Think step by step and provide a detailed explanation for your answer. Then, give the final answer in the format of 'Answer: Valid' or 'Answer: Invalid'.
"
31,sprat,"{""noun_senses"": [""small fatty European fish; usually smoked or canned like sardines"", ""small herring processed like a sardine""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.516.jpg,1,He always enjoyed sprat with a squeeze of lemon.,Valid,"
Distinguish whether the given word is valid for visual word sense disambiguation. 
Decide based on the following criteria:
* If there is a suitable sense in the sense set that can represent the given image, then the word is valid for visual word sense disambiguation. otherwise, it is invalid for visual word sense disambiguation.

Here are some examples of valid and invalid words for visual word sense disambiguation:

<start_of_image><image_soft_token><end_of_image>
Word: hound's-tongue
---
Noun Senses:
1) perennial shrub of North America having coarse tongue-shaped leaves and pale-blue to purple flowers
2) biennial shrub of Europe and western Asia having coarse tongue-shaped leaves and dark reddish-purple flowers
---
Verb Senses:

---
Answer: Valid
---

<start_of_image><image_soft_token><end_of_image>
Word: utility
---
Noun Senses:
1) a company that performs a public service; subject to government regulation
2) the quality of being of practical use
3) the service (electric power or water or transportation) provided by a public utility
4) (economics) a measure that is to be maximized in any situation involving choice
5) (computer science) a program designed for general support of the processes of a computer
6) a facility composed of one or more pieces of equipment connected to or part of a structure and designed to provide a service such as heat or electricity or water or sewage disposal
---
Verb Senses:

---
Answer: Invalid
---

---Word for evaluation: sprat---
Image: <start_of_image><image_soft_token><end_of_image>
---
Noun Senses:
1) small fatty European fish; usually smoked or canned like sardines
2) small herring processed like a sardine
---
Verb Senses:


Think step by step and provide a detailed explanation for your answer. Then, give the final answer in the format of 'Answer: Valid' or 'Answer: Invalid'.
"
33,paddle,"{""verb_senses"": [""propel with a paddle"", ""play in or as if in water, as of small children"", ""swim like a dog in shallow water"", ""walk unsteadily"", ""give a spanking to; subject to a spanking"", ""stir with a paddle""], ""gold_pos"": ""verb"", ""noun_senses"": [""small wooden bat with a flat surface; used for hitting balls in various games"", ""a blade of a paddle wheel or water wheel"", ""an instrument of punishment consisting of a flat board"", ""a short light oar used without an oarlock to propel a canoe or small boat""]}",image.545.jpg,5,They paddle after dinner was served.,Valid,"
Distinguish whether the given word is valid for visual word sense disambiguation. 
Decide based on the following criteria:
* If there is a suitable sense in the sense set that can represent the given image, then the word is valid for visual word sense disambiguation. otherwise, it is invalid for visual word sense disambiguation.

Here are some examples of valid and invalid words for visual word sense disambiguation:

<start_of_image><image_soft_token><end_of_image>
Word: hound's-tongue
---
Noun Senses:
1) perennial shrub of North America having coarse tongue-shaped leaves and pale-blue to purple flowers
2) biennial shrub of Europe and western Asia having coarse tongue-shaped leaves and dark reddish-purple flowers
---
Verb Senses:

---
Answer: Valid
---

<start_of_image><image_soft_token><end_of_image>
Word: utility
---
Noun Senses:
1) a company that performs a public service; subject to government regulation
2) the quality of being of practical use
3) the service (electric power or water or transportation) provided by a public utility
4) (economics) a measure that is to be maximized in any situation involving choice
5) (computer science) a program designed for general support of the processes of a computer
6) a facility composed of one or more pieces of equipment connected to or part of a structure and designed to provide a service such as heat or electricity or water or sewage disposal
---
Verb Senses:

---
Answer: Invalid
---

---Word for evaluation: paddle---
Image: <start_of_image><image_soft_token><end_of_image>
---
Noun Senses:
1) small wooden bat with a flat surface; used for hitting balls in various games
2) a blade of a paddle wheel or water wheel
3) an instrument of punishment consisting of a flat board
4) a short light oar used without an oarlock to propel a canoe or small boat
---
Verb Senses:
1) propel with a paddle
2) play in or as if in water, as of small children
3) swim like a dog in shallow water
4) walk unsteadily
5) give a spanking to; subject to a spanking
6) stir with a paddle

Think step by step and provide a detailed explanation for your answer. Then, give the final answer in the format of 'Answer: Valid' or 'Answer: Invalid'.
"
36,beech,"{""noun_senses"": [""any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions"", ""wood of any of various beech trees; used for flooring and containers and plywood and tool handles""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.599.jpg,1,The carvings showed the aged beauty of beech.,Valid,"
Distinguish whether the given word is valid for visual word sense disambiguation. 
Decide based on the following criteria:
* If there is a suitable sense in the sense set that can represent the given image, then the word is valid for visual word sense disambiguation. otherwise, it is invalid for visual word sense disambiguation.

Here are some examples of valid and invalid words for visual word sense disambiguation:

<start_of_image><image_soft_token><end_of_image>
Word: hound's-tongue
---
Noun Senses:
1) perennial shrub of North America having coarse tongue-shaped leaves and pale-blue to purple flowers
2) biennial shrub of Europe and western Asia having coarse tongue-shaped leaves and dark reddish-purple flowers
---
Verb Senses:

---
Answer: Valid
---

<start_of_image><image_soft_token><end_of_image>
Word: utility
---
Noun Senses:
1) a company that performs a public service; subject to government regulation
2) the quality of being of practical use
3) the service (electric power or water or transportation) provided by a public utility
4) (economics) a measure that is to be maximized in any situation involving choice
5) (computer science) a program designed for general support of the processes of a computer
6) a facility composed of one or more pieces of equipment connected to or part of a structure and designed to provide a service such as heat or electricity or water or sewage disposal
---
Verb Senses:

---
Answer: Invalid
---

---Word for evaluation: beech---
Image: <start_of_image><image_soft_token><end_of_image>
---
Noun Senses:
1) any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions
2) wood of any of various beech trees; used for flooring and containers and plywood and tool handles
---
Verb Senses:


Think step by step and provide a detailed explanation for your answer. Then, give the final answer in the format of 'Answer: Valid' or 'Answer: Invalid'.
"
46,brisling,"{""noun_senses"": [""small fatty European fish; usually smoked or canned like sardines"", ""small herring processed like a sardine""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.755.jpg,1,"During the trade negotiations, the distributor emphasized that the brisling remained their most profitable export this season.",Valid,"
Distinguish whether the given word is valid for visual word sense disambiguation. 
Decide based on the following criteria:
* If there is a suitable sense in the sense set that can represent the given image, then the word is valid for visual word sense disambiguation. otherwise, it is invalid for visual word sense disambiguation.

Here are some examples of valid and invalid words for visual word sense disambiguation:

<start_of_image><image_soft_token><end_of_image>
Word: hound's-tongue
---
Noun Senses:
1) perennial shrub of North America having coarse tongue-shaped leaves and pale-blue to purple flowers
2) biennial shrub of Europe and western Asia having coarse tongue-shaped leaves and dark reddish-purple flowers
---
Verb Senses:

---
Answer: Valid
---

<start_of_image><image_soft_token><end_of_image>
Word: utility
---
Noun Senses:
1) a company that performs a public service; subject to government regulation
2) the quality of being of practical use
3) the service (electric power or water or transportation) provided by a public utility
4) (economics) a measure that is to be maximized in any situation involving choice
5) (computer science) a program designed for general support of the processes of a computer
6) a facility composed of one or more pieces of equipment connected to or part of a structure and designed to provide a service such as heat or electricity or water or sewage disposal
---
Verb Senses:

---
Answer: Invalid
---

---Word for evaluation: brisling---
Image: <start_of_image><image_soft_token><end_of_image>
---
Noun Senses:
1) small fatty European fish; usually smoked or canned like sardines
2) small herring processed like a sardine
---
Verb Senses:


Think step by step and provide a detailed explanation for your answer. Then, give the final answer in the format of 'Answer: Valid' or 'Answer: Invalid'.
"
47,growling,"{""noun_senses"": [""a gruff or angry utterance (suggestive of the growling of an animal)"", ""the sound of growling (as made by animals)""], ""verb_senses"": [""to utter or emit low dull rumbling sounds""]}",image.769.jpg,-1,,Valid,"
Distinguish whether the given word is valid for visual word sense disambiguation. 
Decide based on the following criteria:
* If there is a suitable sense in the sense set that can represent the given image, then the word is valid for visual word sense disambiguation. otherwise, it is invalid for visual word sense disambiguation.

Here are some examples of valid and invalid words for visual word sense disambiguation:

<start_of_image><image_soft_token><end_of_image>
Word: hound's-tongue
---
Noun Senses:
1) perennial shrub of North America having coarse tongue-shaped leaves and pale-blue to purple flowers
2) biennial shrub of Europe and western Asia having coarse tongue-shaped leaves and dark reddish-purple flowers
---
Verb Senses:

---
Answer: Valid
---

<start_of_image><image_soft_token><end_of_image>
Word: utility
---
Noun Senses:
1) a company that performs a public service; subject to government regulation
2) the quality of being of practical use
3) the service (electric power or water or transportation) provided by a public utility
4) (economics) a measure that is to be maximized in any situation involving choice
5) (computer science) a program designed for general support of the processes of a computer
6) a facility composed of one or more pieces of equipment connected to or part of a structure and designed to provide a service such as heat or electricity or water or sewage disposal
---
Verb Senses:

---
Answer: Invalid
---

---Word for evaluation: growling---
Image: <start_of_image><image_soft_token><end_of_image>
---
Noun Senses:
1) a gruff or angry utterance (suggestive of the growling of an animal)
2) the sound of growling (as made by animals)
---
Verb Senses:
1) to utter or emit low dull rumbling sounds

Think step by step and provide a detailed explanation for your answer. Then, give the final answer in the format of 'Answer: Valid' or 'Answer: Invalid'.
"
48,patient,"{""noun_senses"": [""a person who requires medical care"", ""the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.456.jpg,1,The instructor taught the concept of patient throughout the session.,Valid,"
Distinguish whether the given word is valid for visual word sense disambiguation. 
Decide based on the following criteria:
* If there is a suitable sense in the sense set that can represent the given image, then the word is valid for visual word sense disambiguation. otherwise, it is invalid for visual word sense disambiguation.

Here are some examples of valid and invalid words for visual word sense disambiguation:

<start_of_image><image_soft_token><end_of_image>
Word: hound's-tongue
---
Noun Senses:
1) perennial shrub of North America having coarse tongue-shaped leaves and pale-blue to purple flowers
2) biennial shrub of Europe and western Asia having coarse tongue-shaped leaves and dark reddish-purple flowers
---
Verb Senses:

---
Answer: Valid
---

<start_of_image><image_soft_token><end_of_image>
Word: utility
---
Noun Senses:
1) a company that performs a public service; subject to government regulation
2) the quality of being of practical use
3) the service (electric power or water or transportation) provided by a public utility
4) (economics) a measure that is to be maximized in any situation involving choice
5) (computer science) a program designed for general support of the processes of a computer
6) a facility composed of one or more pieces of equipment connected to or part of a structure and designed to provide a service such as heat or electricity or water or sewage disposal
---
Verb Senses:

---
Answer: Invalid
---

---Word for evaluation: patient---
Image: <start_of_image><image_soft_token><end_of_image>
---
Noun Senses:
1) a person who requires medical care
2) the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause
---
Verb Senses:


Think step by step and provide a detailed explanation for your answer. Then, give the final answer in the format of 'Answer: Valid' or 'Answer: Invalid'.
"
