word_index,word,senses,gold_image,gold_sense,generated_ambiguous_sentence,generated_caption,predicted_answer
4362,swallow,"{""senses"": [""a small amount of liquid food"", ""the act of swallowing"", ""small long-winged songbird noted for swift graceful flight and the regularity of its migrations""]}",image.11950.jpg,3,A quick swallow helped him recover.,"Here's a description of the image:

The image features two swallows perched atop a weathered, broken tree stump. They are small birds with sleek, streamlined bodies showcasing a beautiful color palette of brown, gray, and a rusty orange hue on their chests. Their dark eyes and beaks are strikingly visible, and their feathers appear well-groomed. The background is a blurred mix of green foliage, indicating an outdoor setting, and the overall lighting suggests a bright, sunny day.",3
11580,embolism,"{""senses"": [""an insertion into a calendar"", ""occlusion of a blood vessel by an embolus (a loose clot or air bubble or other particle)""]}",image.9534.jpg,2,The team handled the embolism with a revised protocol.,"Here's a description of what's depicted in the image:

The image shows a medical diagnostic comparison, specifically a chest X-ray and a CT scan. The chest X-ray (left side) presents a standard frontal view, with a highlighted area (red circle) showing an opacity or abnormal density in the left lung field. The CT scan (right side) provides a more detailed cross-sectional view, showcasing structures like the spine and esophagus. A red circle highlights a vertebral fracture in the cervical spine. These images are likely being used to assess the extent of an injury or condition affecting the chest and spine.",2
1722,stamp,"{""senses"": [""the distinctive form in which a thing is made"", ""a type or class"", ""a symbol that is the result of printing or engraving"", ""a small adhesive token stuck on a letter or package to indicate that that postal fees have been paid"", ""something that can be used as an official medium of payment"", ""a small piece of adhesive paper that is put on an object to show that a government tax has been paid"", ""machine consisting of a heavy bar that moves vertically for pounding or crushing ores"", ""a block or die used to imprint a mark or design"", ""a device incised to make an impression; used to secure a closing or to authenticate documents""]}",image.4522.jpg,4,She collected the stamp with care.,"Certainly! Here's a description of what's depicted in the image:

The image shows a vintage postage stamp from El Salvador, dated 1892. The stamp is a reddish-brown color and features an intricate design. Centered within the design is an illustration of a man on horseback, appearing to be a conquistador or historical figure, with another person walking alongside. Above the figure, you see the word ""SALVADOR"" prominently displayed in a circular frame. The text ""SERVICIO POSTAL DEL"" arches across the top and ""AMERICA CENTRAL"" is written on the right side of the stamp. The value ""25 CENTAVOS"" is printed at the bottom.",4
2541,instrumentation,"{""senses"": [""an artifact (or system of artifacts) that is instrumental in accomplishing some end"", ""the act of providing or using the instruments needed for some implementation"", ""the instruments called for in a musical score or arrangement for a band or orchestra"", ""the act of arranging a piece of music for an orchestra and assigning parts to the different musical instruments""]}",image.7090.jpg,3,The director reviewed the instrumentation before rehearsals began.,"Here's a description of what's depicted in the image:

The image shows a large orchestra and choir performing on a stage in what appears to be a concert hall. The orchestra includes a variety of instruments such as strings, woodwinds, brass, and percussion. The choir is seated in the background, looking towards the conductor who stands at the front of the orchestra. The lighting is dim, creating a dramatic atmosphere, and the overall impression is of a formal musical performance.",3
5802,blueberry,"{""senses"": [""any of numerous shrubs of the genus Vaccinium bearing blueberries"", ""sweet edible dark-blue berries of either low-growing or high-growing blueberry plants""]}",image.10129.jpg,2,The gardener praised the blueberry's potential.,"Here's a description of what's depicted in the image:

The image shows a pint-sized container filled with fresh, ripe blueberries. The container is made of a textured, greenish-blue, molded cardboard material, often used for produce. The blueberries themselves are a mix of deep blue and lighter purple, and they are densely packed within the container, creating a vibrant and appealing display of the fruit.",2
8162,tatting,"{""senses"": [""needlework consisting of handmade lace made by looping and knotting a single thread on a small shuttle"", ""the act or art of making handmade lace""]}",image.3828.jpg,1,The afternoon was filled with tatting and tea.,"Here's a description of what's depicted in the image:

The image shows a close-up of lacemaking in progress. A red, handheld tatting shuttle is positioned over a row of delicate, white lace motifs. The shuttle is threaded with white thread, which is being used to create the lace design. The lace is set against a black background, likely a piece of fabric or a pillow, providing a contrast that highlights the intricate details of the lacework.",1
8941,irrigation,"{""senses"": [""supplying dry land with water by means of ditches etc"", ""(medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution""]}",image.2345.jpg,1,The area required careful irrigation to ensure a healthy outcome.,"Certainly! Here's a description of the image:

The image shows a lush, green field being irrigated by a large center pivot sprinkler system. The system consists of a series of connected metal towers, each with a sprinkler head spraying water across the field. The crops appear to be dense and healthy, likely a vegetable or grain crop. The sky is blue with some wispy clouds, suggesting a bright and sunny day.",1
1517,mackintosh,"{""senses"": [""a lightweight waterproof (usually rubberized) fabric"", ""a waterproof raincoat made of rubberized fabric"", ""A popular variety of culinary and dessert apple characterized by its deep red (sometimes green-blushed) skin, tart-sweet flavor, and tender, bright white flesh.""]}",image.944.jpg,2,A bright red mackintosh was left on the bench after the picnic.,"Here's a description of what's depicted in the image:

The image is a vintage illustration of a man dressed in late 19th-century attire. He's wearing a long, dark overcoat with a capelet attached, a patterned scarf, a dark bowler hat, and chunky, textured socks or gaiters. He has a neatly trimmed mustache and is standing in a confident, upright posture, holding something in his hand. The style of the drawing suggests it might be from a fashion plate or historical publication.",2
11769,father,"{""senses"": [""a male parent (also used as a term of address to your father)"", ""the founder of a family"", ""`Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military"", ""(Christianity) any of about 70 theologians in the period from the 2nd to the 7th century whose writing established and confirmed official church doctrine; in the Roman Catholic Church some were later declared saints and became Doctor of the Church; the best known Latin Church Fathers are Ambrose, Augustine, Gregory the Great, and Jerome; those who wrote in Greek include Athanasius, Basil, Gregory Nazianzen, and John Chrysostom"", ""a person who holds an important or distinguished position in some organization"", ""God when considered as the first person in the Trinity"", ""a person who founds or establishes some institution"", ""the head of an organized crime family""]}",image.4306.jpg,1,My father built a firm foundation.,"Here's a description of the image:

The image shows a man holding a young child. The man has short, reddish-brown hair and is wearing sunglasses and a dark brown shirt with text on it. The child, likely a toddler, is wearing denim overalls and a striped hat. They're both looking slightly off to the right, and the scene appears to be outdoors with a building and colorful mural visible in the background.",1
5964,maroon,"{""senses"": [""a person who is stranded (as on an island)"", ""a dark purplish-red to dark brownish-red color"", ""an exploding firework used as a warning signal""]}",image.6768.jpg,2,The ship appeared maroon against the horizon.,"Here's a short description of what's depicted in the image:

The image shows a close-up view of several chestnuts scattered on the ground among fallen leaves and green foliage. The chestnuts are encased in prickly, brownish-green husks, with one partially opened, revealing the shiny brown nut inside. The scene suggests an autumnal setting, with the chestnuts having recently fallen from the tree.",2
