word_index,word,senses,gold_image,gold_sense,ambiguous_sentence
0,moorhen,"{""noun_senses"": [""black gallinule that inhabits ponds and lakes"", ""female red grouse""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.0.jpg,1,The moorhen blended well with the surrounding landscape.
11,upset,"{""verb_senses"": [""disturb the balance or stability of"", ""cause to lose one's composure"", ""move deeply"", ""cause to overturn from an upright or normal position"", ""form metals with a swage"", ""defeat suddenly and unexpectedly""], ""gold_pos"": ""verb"", ""noun_senses"": [""an unhappy and worried mental state"", ""the act of disturbing the mind or body"", ""a physical condition in which there is a disturbance of normal functioning"", ""a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging"", ""the act of upsetting something"", ""an improbable and unexpected victory""]}",image.185.jpg,6,The unexpected performance by the rookie is going to upset the veteran.
31,sprat,"{""noun_senses"": [""small fatty European fish; usually smoked or canned like sardines"", ""small herring processed like a sardine""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.516.jpg,1,He always enjoyed sprat with a squeeze of lemon.
33,paddle,"{""verb_senses"": [""propel with a paddle"", ""play in or as if in water, as of small children"", ""swim like a dog in shallow water"", ""walk unsteadily"", ""give a spanking to; subject to a spanking"", ""stir with a paddle""], ""gold_pos"": ""verb"", ""noun_senses"": [""small wooden bat with a flat surface; used for hitting balls in various games"", ""a blade of a paddle wheel or water wheel"", ""an instrument of punishment consisting of a flat board"", ""a short light oar used without an oarlock to propel a canoe or small boat""]}",image.545.jpg,5,They paddle after dinner was served.
36,beech,"{""noun_senses"": [""any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions"", ""wood of any of various beech trees; used for flooring and containers and plywood and tool handles""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.599.jpg,1,The carvings showed the aged beauty of beech.
46,brisling,"{""noun_senses"": [""small fatty European fish; usually smoked or canned like sardines"", ""small herring processed like a sardine""], ""verb_senses"": []}",image.755.jpg,-1,
47,growling,"{""noun_senses"": [""a gruff or angry utterance (suggestive of the growling of an animal)"", ""the sound of growling (as made by animals)""], ""verb_senses"": [""to utter or emit low dull rumbling sounds""]}",image.769.jpg,-1,
48,patient,"{""noun_senses"": [""a person who requires medical care"", ""the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.456.jpg,1,The instructor taught the concept of patient throughout the session.
54,runner,"{""noun_senses"": [""someone who imports or exports without paying duties"", ""someone who travels on foot by running"", ""a person who is employed to deliver messages or documents"", ""a baseball player on the team at bat who is on base (or attempting to reach a base)"", ""a horizontal branch from the base of plant that produces new plants from buds at its tips"", ""a trained athlete who competes in foot races"", ""(football) the player who is carrying (and trying to advance) the ball on an offensive play"", ""a long narrow carpet"", ""device consisting of the parts on which something can slide along"", ""fish of western Atlantic: Cape Cod to Brazil""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.878.jpg,6,The runner moved swiftly across the field.
61,enlightenment,"{""noun_senses"": [""education that results in understanding and the spread of knowledge"", ""(Hinduism and Buddhism) the beatitude that transcends the cycle of reincarnation; characterized by the extinction of desire and suffering and individual consciousness"", ""a movement in Europe from about 1650 until 1800 that advocated the use of reason and individualism instead of tradition and established doctrine""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.997.jpg,1,The university remains a beacon of enlightenment for the entire region.
65,pica,"{""noun_senses"": [""an eating disorder, frequent in children, in which non-nutritional objects are eaten persistently"", ""a linear unit (1/6 inch) used in printing"", ""magpies""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1058.jpg,1,The researcher spent years documenting the various forms of pica observed in the community.
68,subsidence,"{""noun_senses"": [""an abatement in intensity or degree (as in the manifestations of a disease)"", ""a gradual sinking to a lower level"", ""the sudden collapse of something into a hollow beneath it""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1103.jpg,3,The old mine faced subsidence after years of neglect.
72,bottle,"{""verb_senses"": [""store (liquids or gases) in bottles"", ""put into bottles""], ""gold_pos"": ""verb"", ""noun_senses"": [""a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped"", ""the quantity contained in a bottle"", ""a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children""]}",image.1160.jpg,2,The fruit was bottled for preservation.
87,hoard,"{""noun_senses"": [""a secret store of valuables or money""], ""verb_senses"": [""save up as for future use"", ""get or gather together""]}",image.1375.jpg,-1,
