word_index,word,senses,gold_image,gold_sense,ambiguous_sentence,prompt,answer
0,moorhen,"{""noun_senses"": [""black gallinule that inhabits ponds and lakes"", ""female red grouse""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.0.jpg,1,The moorhen blended well with the surrounding landscape.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: moorhen","A dark-plumaged moorhen preens amongst lush green vegetation at the edge of a pond, while another swims further out in the water. Both birds display distinctive red frontal shields and yellow-tipped bills. The water is covered in patches of algae and floating plants."
11,upset,"{""verb_senses"": [""disturb the balance or stability of"", ""cause to lose one's composure"", ""move deeply"", ""cause to overturn from an upright or normal position"", ""form metals with a swage"", ""defeat suddenly and unexpectedly""], ""gold_pos"": ""verb"", ""noun_senses"": [""an unhappy and worried mental state"", ""the act of disturbing the mind or body"", ""a physical condition in which there is a disturbance of normal functioning"", ""a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging"", ""the act of upsetting something"", ""an improbable and unexpected victory""]}",image.185.jpg,6,The unexpected performance by the rookie is going to upset the veteran.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: upset","A young man appears deeply upset, his gaze averted and a slight grimace on his face as he holds the head of a severed man, blood still visible around the neck and mouth. The expression suggests a complex mix of shock, regret, and perhaps even fear following a violent act."
14,breakdown,"{""noun_senses"": [""the act of disrupting an established order so it fails to continue"", ""a mental or physical breakdown"", ""a cessation of normal operation"", ""an analysis into mutually exclusive categories""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.239.jpg,3,"After years of relentless pursuit, the prolonged effort finally caused a breakdown.","Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: breakdown","A police officer is speaking to a driver next to a maroon vehicle, likely due to a mechanical issue causing traffic to build up on the street. Several cars are stopped, suggesting a disruption in the flow of traffic, and potentially a vehicle experiencing a breakdown."
20,beater,"{""noun_senses"": [""a worker who rouses wild game from under cover for a hunter"", ""an implement for beating""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.339.jpg,3,The craftsman relied on the beater to ensure a tight finish to the project.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: beater","A woman operates a loom, using a tool to pack the weft threads tightly together, creating a dense fabric as she works at the weaving process."
31,sprat,"{""noun_senses"": [""small fatty European fish; usually smoked or canned like sardines"", ""small herring processed like a sardine""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.516.jpg,1,He always enjoyed sprat with a squeeze of lemon.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: sprat","A silvery, elongated fish resembling a sprat is displayed against a black background, showcasing its streamlined body and delicate fins. The scales reflect light, giving it a shimmering appearance, and the eye is notably dark and round. Details of the tail fin and head shape are clearly visible, characteristic of small, schooling fish like a sprat."
33,paddle,"{""verb_senses"": [""propel with a paddle"", ""play in or as if in water, as of small children"", ""swim like a dog in shallow water"", ""walk unsteadily"", ""give a spanking to; subject to a spanking"", ""stir with a paddle""], ""gold_pos"": ""verb"", ""noun_senses"": [""small wooden bat with a flat surface; used for hitting balls in various games"", ""a blade of a paddle wheel or water wheel"", ""an instrument of punishment consisting of a flat board"", ""a short light oar used without an oarlock to propel a canoe or small boat""]}",image.545.jpg,5,They paddle after dinner was served.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: paddle","A woman gestures emphatically while a child leans against her, near scattered hats and what appears to be a broken or discarded paddle on the floor."
36,beech,"{""noun_senses"": [""any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions"", ""wood of any of various beech trees; used for flooring and containers and plywood and tool handles""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.599.jpg,1,The carvings showed the aged beauty of beech.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: beech","This botanical illustration details various parts of a beech tree, showcasing its leaves, flowers, buds, and fruit – specifically the characteristic beech nuts enclosed in a spiky husk. Details are provided of the tree’s stem structure and flower anatomy, offering a comprehensive view of the species *Fagus sylvatica*."
46,brisling,"{""noun_senses"": [""small fatty European fish; usually smoked or canned like sardines"", ""small herring processed like a sardine""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.755.jpg,1,"During the trade negotiations, the distributor emphasized that the brisling remained their most profitable export this season.","Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: brisling","A silvery, elongated fish with a streamlined body, typical of a small, oily species often preserved in tins or smoked, is displayed against a dark background. It possesses a forked tail and a relatively small head with a distinct eye. The scales reflect light, giving it a metallic sheen, and its form suggests it is a schooling fish found in marine environments."
48,patient,"{""noun_senses"": [""a person who requires medical care"", ""the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.456.jpg,1,The instructor taught the concept of patient throughout the session.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: patient","Three individuals are receiving medical care, each seated in a reclining chair and covered with blue gowns and surgical caps. IV lines are connected to their arms, and they appear to be undergoing treatment in a clinical setting, suggesting they are all under observation as a patient."
50,student,"{""noun_senses"": [""a learner who is enrolled in an educational institution"", ""a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.815.jpg,1,The student advised the younger learners on effective study habits.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: student","A large group of student are lined up in what appears to be a school courtyard, with more student visible on the balconies above. Many are holding bags and appear to be waiting for something, possibly an event or dismissal. Some are waving the Indian flag."
