word_index,word,word_phrase,senses,gold_image,gold_pos,gold_sense,prompt
78,runner,'traveler' is a hypernym of the specific sense of 'runner'.,"{""n"": [""someone who imports or exports without paying duties"", ""someone who travels on foot by running"", ""a person who is employed to deliver messages or documents"", ""a baseball player on the team at bat who is on base (or attempting to reach a base)"", ""a horizontal branch from the base of plant that produces new plants from buds at its tips"", ""a trained athlete who competes in foot races"", ""(football) the player who is carrying (and trying to advance) the ball on an offensive play"", ""a long narrow carpet"", ""device consisting of the parts on which something can slide along"", ""fish of western Atlantic: Cape Cod to Brazil""]}",image.249.jpg,n,6.0,"the noun 'runner' that can be interpreted as:
 1. someone who imports or exports without paying duties
 2. someone who travels on foot by running
 3. a person who is employed to deliver messages or documents
 4. a baseball player on the team at bat who is on base (or attempting to reach a base)
 5. a horizontal branch from the base of plant that produces new plants from buds at its tips
 6. a trained athlete who competes in foot races
 7. (football) the player who is carrying (and trying to advance) the ball on an offensive play
 8. a long narrow carpet
 9. device consisting of the parts on which something can slide along
 10. fish of western Atlantic: Cape Cod to Brazil
---
Generate a natural ambiguous sentence using polysemous word 'runner' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'runner' should be interpreted as 'a trained athlete who competes in foot races'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
128,exhibition,'assemblage' is a hypernym of the specific sense of 'exhibition'.,"{""n"": [""the act of exhibiting"", ""a collection of things (goods or works of art etc.) for public display""]}",image.559.jpg,n,2.0,"the noun 'exhibition' that can be interpreted as:
 1. the act of exhibiting
 2. a collection of things (goods or works of art etc.) for public display
---
Generate a natural ambiguous sentence using polysemous word 'exhibition' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'exhibition' should be interpreted as 'a collection of things (goods or works of art etc.) for public display'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
169,foul,'handball' is a hypernym of the specific sense of 'foul'.,"{""n"": [""an act that violates the rules of a sport""], ""v"": [""hit a foul ball"", ""make impure"", ""become or cause to become obstructed"", ""commit a foul; break the rules"", ""spot, stain, or pollute"", ""make unclean"", ""become soiled and dirty""], ""a"": [""highly offensive; arousing aversion or disgust"", ""offensively malodorous"", ""violating accepted standards or rules"", ""(of a baseball) not hit between the foul lines"", ""(of a manuscript) defaced with changes"", ""characterized by obscenity"", ""disgustingly dirty; filled or smeared with offensive matter"", ""especially of a ship's lines etc""]}",image.2502.jpg,v,1.0,"the verb 'foul' that can be interpreted as:
 1. hit a foul ball
 2. make impure
 3. become or cause to become obstructed
 4. commit a foul; break the rules
 5. spot, stain, or pollute
 6. make unclean
 7. become soiled and dirty
---
Generate a natural ambiguous sentence using polysemous word 'foul' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the verb 'foul' should be interpreted as 'hit a foul ball'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
474,porter,'ale' is a hypernym of the specific sense of 'porter'.,"{""n"": [""a person employed to carry luggage and supplies"", ""someone who guards an entrance"", ""United States writer of novels and short stories (1890-1980)"", ""United States composer and lyricist of musical comedies (1891-1946)"", ""United States writer of short stories whose pen name was O. Henry (1862-1910)"", ""a railroad employee who assists passengers (especially on sleeping cars)"", ""a very dark sweet ale brewed from roasted unmalted barley""], ""v"": [""carry luggage or supplies""]}",image.5948.jpg,n,7.0,"the noun 'porter' that can be interpreted as:
 1. a person employed to carry luggage and supplies
 2. someone who guards an entrance
 3. United States writer of novels and short stories (1890-1980)
 4. United States composer and lyricist of musical comedies (1891-1946)
 5. United States writer of short stories whose pen name was O. Henry (1862-1910)
 6. a railroad employee who assists passengers (especially on sleeping cars)
 7. a very dark sweet ale brewed from roasted unmalted barley
---
Generate a natural ambiguous sentence using polysemous word 'porter' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'porter' should be interpreted as 'a very dark sweet ale brewed from roasted unmalted barley'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
894,handicraft,'work' is a hypernym of the specific sense of 'handicraft'.,"{""n"": [""a work produced by hand labor"", ""a craft that requires skillful hands""]}",image.4311.jpg,n,2.0,"the noun 'handicraft' that can be interpreted as:
 1. a work produced by hand labor
 2. a craft that requires skillful hands
---
Generate a natural ambiguous sentence using polysemous word 'handicraft' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'handicraft' should be interpreted as 'a craft that requires skillful hands'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
916,egg,'ovum' is a hypernym of the specific sense of 'egg'.,"{""n"": [""animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds"", ""oval reproductive body of a fowl (especially a hen) used as food"", ""one of the two male reproductive glands that produce spermatozoa and secrete androgens""], ""v"": [""throw eggs at"", ""coat with beaten egg""]}",image.8439.jpg,n,1.0,"the noun 'egg' that can be interpreted as:
 1. animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
 2. oval reproductive body of a fowl (especially a hen) used as food
 3. one of the two male reproductive glands that produce spermatozoa and secrete androgens
---
Generate a natural ambiguous sentence using polysemous word 'egg' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'egg' should be interpreted as 'animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
930,volume,'product' is a hypernym of the specific sense of 'volume'.,"{""n"": [""the amount of 3-dimensional space occupied by an object"", ""the property of something that is great in magnitude"", ""physical objects consisting of a number of pages bound together"", ""a publication that is one of a set of several similar publications"", ""a relative amount"", ""the magnitude of sound (usually in a specified direction)""]}",image.2915.jpg,n,4.0,"the noun 'volume' that can be interpreted as:
 1. the amount of 3-dimensional space occupied by an object
 2. the property of something that is great in magnitude
 3. physical objects consisting of a number of pages bound together
 4. a publication that is one of a set of several similar publications
 5. a relative amount
 6. the magnitude of sound (usually in a specified direction)
---
Generate a natural ambiguous sentence using polysemous word 'volume' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'volume' should be interpreted as 'a publication that is one of a set of several similar publications'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
1039,butcher,'merchant' is a hypernym of the specific sense of 'butcher'.,"{""n"": [""a retailer of meat"", ""a brutal indiscriminate murderer"", ""a person who slaughters or dresses meat for market"", ""someone who makes mistakes because of incompetence""], ""v"": [""kill (animals) usually for food consumption""], ""a"": [""used of men; markedly masculine in appearance or manner"", ""(of male or female homosexuals) characterized by stereotypically male traits or appearance""]}",image.8165.jpg,n,1.0,"the noun 'butcher' that can be interpreted as:
 1. a retailer of meat
 2. a brutal indiscriminate murderer
 3. a person who slaughters or dresses meat for market
 4. someone who makes mistakes because of incompetence
---
Generate a natural ambiguous sentence using polysemous word 'butcher' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'butcher' should be interpreted as 'a retailer of meat'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
1209,groom,'beautify' is a hypernym of the specific sense of 'groom'.,"{""n"": [""a man participant in his own marriage ceremony"", ""someone employed in a stable to take care of the horses"", ""a man who has recently been married""], ""v"": [""educate for a future role or function"", ""give a neat appearance to"", ""care for one's external appearance""]}",image.10691.jpg,v,3.0,"the verb 'groom' that can be interpreted as:
 1. educate for a future role or function
 2. give a neat appearance to
 3. care for one's external appearance
---
Generate a natural ambiguous sentence using polysemous word 'groom' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the verb 'groom' should be interpreted as 'care for one's external appearance'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
1298,oil,'fat' is a hypernym of the specific sense of 'oil'.,"{""n"": [""a slippery or viscous liquid or liquefiable substance not miscible with water"", ""oil paint containing pigment that is used by an artist"", ""a dark oil consisting mainly of hydrocarbons"", ""any of a group of liquid edible fats that are obtained from plants""], ""v"": [""cover with oil, as if by rubbing"", ""administer an oil or ointment to ; often in a religious ceremony of blessing""]}",image.11034.jpg,n,4.0,"the noun 'oil' that can be interpreted as:
 1. a slippery or viscous liquid or liquefiable substance not miscible with water
 2. oil paint containing pigment that is used by an artist
 3. a dark oil consisting mainly of hydrocarbons
 4. any of a group of liquid edible fats that are obtained from plants
---
Generate a natural ambiguous sentence using polysemous word 'oil' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'oil' should be interpreted as 'any of a group of liquid edible fats that are obtained from plants'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
